recipe_id,cod filet,ginger,oyster sauce,rice,rice wine,salt,sesame oil,shallot,soya sauce,spring onions,water,white pepper,apple cider vinegar,brown sugar,cod fish filets,chicken broth,cornstarch,crushed red pepper,eggs,fresh ginger,garlic,green onion,soy sauce,bread crumbs,canola oil,cod fillet,flour,lemon rind,milk,parmesan cheese,parsley,potatoes,tuna in olive oil,canned tomatoes,coconut milk,coriander powder,cumin,curry leaves,dried chillies,elk fillet,green chilies,kabocha squash,oil,onion,tamarind paste,tumeric powder,bay leaf,black peppercorns,butter,chicken stock,dried chives,dried tarragon,greek olives,horseradish,lemon juice,olive oil,salmon,savoy cabbage,white wine,black olives,capers,cod,egg yolk,puff pastry,salt cod,shallots,tilapia,flour tortillas,cilantro,limes,iceberg lettuce,tomatoes,creole seasoning,corn flour,egg,fish sauce,fresh coriander leaves,green beans,red chilli,red curry paste,spring onion,white fish fillets,fish fillets,red capsicum,sugar,lemon grass,lime leaves,shaoxing wine,coconut cream,cooked rice,curry powder,green peas,ketchup,chili pepper,coconut,fish,garlic clove,ice cube,lemon,pepper,sweet potato,vegetable oil,edamame,fish stock,fresh bean sprouts,fresh cilantro leaves,lime,monkfish fillet,noodle,nori,red miso,sake,scallions,vegetable broth,baby corn,cabbage,carrot,cornflour,grouper,shiitake mushrooms,tofu,mayonnaise,dijon mustard,cod fillets,bay leaves,lemon zest,fresh parsley,chives,breadcrumbs,sunflower oil,lemon wedges,hamburger buns,pickles,Salt & Pepper,smoked paprika,yellow mustard,anchovy,bread,fresh basil leaves,tomato paste,balsamic vinegar,cucumber,extra virgin olive oil,mint,sesame seeds,sun-dried tomatoes,white fish fillet,avocado,fresh cilantro,jalapeno,lettuce,lime juice,lime zest,nonfat greek yogurt,salt and pepper,tequila,bell pepper,kosher salt,basil leaves,cayenne,green onions,black pepper,canned coconut milk,coriander seeds,garlic cloves,ground cumin,red chilies,turmeric,cod fish fillet,ground pepper,beer,all purpose flour,haddock fillets,rosemary,canned black beans,cayenne pepper,corn tortillas,cornmeal,hot sauce,mayo,monterey jack cheese,red cabbage,broth,red onions,salsa,sour cream,tilapia fillets,scallion,shrimp,sea salt,wine,worcestershire sauce,frying oil,ginger root,bbq sauce,red pepper powder,white sesame seeds,all spice,baking powder,black beans,red onion,seasoned salt,tomato,ancho chili powder,cherry tomatoes,cilantro leaves,frozen corn,jalapeno pepper,juice of lime,red pepper flakes,romaine lettuce,tortilla,Spice Rub,mushrooms,tarragon,salted cod,carrots,green bell pepper,yellow bell pepper,vinegar,whole cloves,sriracha chili sauce,avocados,bell peppers,tabasco sauce,tortilla chips,cooking oil,green peppers,hard-boiled eggs,red peppers,salted cod fish,catfish,celery,juice of lemon,pecans,seafood stock,unsalted butter,crawfish tails,creole spice,slider buns,tartar sauce,garlic powder,yellow cornmeal,sausage,beef bouillon,onion soup mix,canned tomato sauce,clam juice,dry white wine,red chili flakes,lump crab meat,spaghetti,fresh basil,parmigiano reggiano cheese,basmati rice,mango,orange juice,panko breadcrumbs,red bell pepper,rockfish,serrano chile,unsweetened shredded coconut,dried basil,dried dillweed,dried thyme,swordfish steaks,lemon pepper,macadamia nuts,panko,sherry vinegar,crayfish tails,paprika,oregano,""" pie shells",half and half,mild cheddar cheese,swordfish,sage,orange,chicken bouillon cubes,crawfish,green onion tops,onions,cantaloupe,basil,honey,garlic salt,coriander,monkfish cheeks,chilli powder,tamarind pulp,brown mustard seeds,fenugreek seeds,cardamom pods,cinnamon,feta cheese,lime peel,black mustard seeds,chili powder,cumin powder,fennel powder,garlic paste,ginger paste,mackerel fish,turmeric powder,buttermilk,celery seed,cream cheese,Crema Mexicana,mozzarella cheese,persian cucumber,pimentos,serrano pepper,shredded mexican cheese blend,sriracha,tabasco,watermelon,noodles,nutmeg,parmesan,shredded mozzarella,skim milk ricotta cheese,whitefish,scallops,halibut steak,littleneck clams,yukon gold potatoes,saffron threads,fennel bulb,sweet paprika,saffron,watercress,chile powder,granulated garlic,catfish filets,light mayonnaise,dill pickle,jalapeno chile,dill pickle juice,ginger juice,ground ancho chili,ground coriander,ground turmeric,prawns,yogurt,peanut oil,cooked crab,quinoa,chile,roma tomato,canned crabmeat,crabmeat,reduced fat mayonnaise,onion powder,won ton wrappers,mirin,tiger prawns,white rice,low sodium chicken broth,orzo pasta,heavy cream,mussels,sea-salt,halibut,parsley flakes,crème fraîche,chili sauce,bacon,sea scallops,whipping cream,maple syrup,fresh chives,very onion,tuna,french bread,pepper jack cheese,picante sauce,roma tomatoes,shredded cheddar cheese,canned salmon,frozen spinach,nonfat cottage cheese,swiss cheese,halibut steaks,ahi tuna steak,fresh mint,cajun seasoning,canned tuna,chili peppers,greek yogurt,mirepoix,crusty bread,thyme,salmon fillet,fresh dill,salmon fillets,raw shrimp,vermouth,chicken bouillon cube,olive oil cooking spray,root vegetables,shrimps,arborio rice,artichoke hearts,crab,parmigiano reggiano,pine nuts,ripe banana,celery stick,chicken stock cube,pan-fried bacon,prawn,rice paper,lettuce leaves,brie,flat leaf parsley,kalamata olives,lemongrass,thai basil,saltine crackers,peppers,old bay seasoning,chillies,parsley leaves,pasta shells
642929,0.38 pounds,0.25 piece,0.5 tablespoons,0.38 cups,0.25 tablespoon,0.25 pinch,0.25 tablespoon,1.0 servings,0.25 tablespoon,1.0 servings,0.5 liters,0.13 teaspoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4273,0,0,0,0,0,0,0,0,0,0,0,0,0.38 Tbsps,0.38 Tbsps,0.19 lbs,0.13 cup,0.13 Tbsp,0.13 Tbsp,0.13 ,0.13 Tbsp,0.13 Tbsp,0.25 Tbsps,0.38 Tbsps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
642927,0,0,0,0,0,1.0 servings,0,0,0,0,0,0,0,0,0,0,0,0,0.25 ,0,0.13 clove,0,0,1.0 servings,1.0 servings,62.5 grams,12.5 grams,0.06 ,0.13 cup,6.25 grams,0.13 bunch,50.0 grams,18.75 grams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
642941,0,0.5 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5 cloves,0,0,0,0,0,0,0,0,0,0.25 tablespoon,0,0,3.63 oz,0.25 cup,0.13 teaspoon,0.5 teaspoons,0.5 sprigs,1.25 ,0.25 pound,1.25 ,0.19 cup,0.5 tablespoons,0.13 ,0.25 tablespoon,0.13 teaspoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
642977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0 teaspoons,0,0,0,0,0,0,0,0,0,0,0,1.5 tablespoons,0,0,1.0 medium,0,0,0,0,0,0,0,0,0,0,0,0.5 ,0,0,0.5 ,0.25 teaspoon,0.5 tablespoon,0.5 cup,0.5 teaspoon,0.5 teaspoon,0.25 cup,0.5 tablespoon,0.5 teaspoon,0.5 tablespoon,4.0 ounces,4.0 ounces,0.25 cup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
631894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33 cups,0,0.17 cup,0,0.33 tablespoons,66.67 grams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17 ,0,0.17 knob,0,0,0,0,0,0,0,0,0,0,0.33 tablespoons,0.17 tablespoon,33.33 grams,0.17 ,0.33 sheets,33.33 grams,0.5 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
648974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2 cups,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1 medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2 fillet,2.0 small,0.1 cup,0.4 ,0.05 head,0.4 ,0.1 serving,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
663108,0,0,0,0,0,1.0 servings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0 servings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0 tbsp,0.5 ,0.75 tablespoons,0.13 cup,100.0 g,0.5 ,1.0 tbsp,1.0 ,150.0 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
632983,0,0.17 tablespoon,0.17 tablespoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17 tablespoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33 pieces,0,0,0,0,0,0,0.17 tablespoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17 leaves,0,0,0.5 tablespoons,0,0,150.0 g,0.17 large,0.17 tablespoon,0.33 ,1.67 ,0.5 tablespoons,66.67 ml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
641123,0,0,0,0,0.25 teaspoon,1.0 serving,0,0,0,0,5.0 cups,1.0 pinch,0,0,0,0,1.0 tablespoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.0 grams,0,0,1.0 serving,1.0 medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5 tablespoon,0,0,0,0,1.0 serving,0.5 tablespoon,3.0 tablespoons,5.0 tablespoons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
