recipe_id,Calories kcal,Fat g,Saturated Fat g,Carbohydrates g,Net Carbohydrates g,Sugar g,Cholesterol mg,Sodium mg,Protein g,Manganese mg,Vitamin C mg,Magnesium mg,Phosphorus mg,Copper mg,Folate µg,Vitamin A IU,Fiber g,Vitamin B6 mg,Iron mg,Vitamin B1 mg,Zinc mg,Vitamin E mg,Vitamin B2 mg,Potassium mg,Calcium mg,Selenium µg,Vitamin B5 mg,Vitamin B3 mg,Vitamin K µg,Vitamin D µg,Vitamin B12 µg,Alcohol g,Caffeine mg
715769,625.07,30.69,3.32,71.66,62.1,6.45,0.0,971.81,19.86,2.77,81.79,216.62,500.43,0.97,191.83,2019.06,9.56,0.63,5.58,0.42,3.6,3.29,0.33,668.06,139.72,9.03,0.88,1.67,5.16,,,,
648257,221.45,0.82,0.19,49.5,24.38,4.55,0.0,427.46,15.21,1.29,54.16,278.35,416.48,1.07,310.98,76.53,25.12,0.57,6.47,0.33,2.32,0.99,0.31,1712.06,224.86,1.49,1.56,4.82,76.29,,,,
1095745,468.07,9.76,1.53,76.92,68.03,5.76,0.0,908.84,21.49,1.54,9.95,82.25,333.85,0.74,226.32,1476.83,8.89,0.75,6.17,0.64,2.49,1.15,0.8,769.29,106.77,41.27,2.35,9.43,75.55,0.23,,,
658753,466.44,16.31,2.49,67.36,61.88,10.13,0.0,718.22,13.7,0.79,112.65,52.42,166.26,0.23,201.59,3423.19,5.48,0.43,4.47,0.52,1.35,4.04,0.38,592.54,67.51,27.29,0.69,6.24,27.59,,,,
658515,232.48,18.01,2.52,16.15,9.67,4.35,0.0,237.71,5.82,0.59,144.82,39.79,119.27,0.12,103.78,1282.6,6.48,0.38,2.52,0.24,0.73,4.01,0.15,669.38,74.17,2.83,0.53,1.27,311.62,,,,
648275,290.01,13.97,1.92,13.3,8.71,8.44,15.31,836.37,28.8,0.25,110.95,51.97,607.06,0.12,61.4,3769.66,4.59,0.38,1.16,0.1,3.74,3.9,0.34,531.79,842.69,16.16,0.34,1.53,29.87,,0.78,,
1095740,440.15,23.92,3.1,49.95,37.97,27.45,0.0,443.73,11.71,1.52,88.91,119.75,255.11,0.59,274.25,873.81,11.98,0.56,3.55,0.49,1.92,5.63,0.24,1073.9,139.37,18.34,0.97,3.19,92.83,,,,
1095751,296.04,1.12,0.21,61.47,54.08,11.64,0.0,971.9,8.92,1.11,90.39,65.19,187.42,0.33,209.95,2696.56,7.39,0.49,3.74,0.51,1.71,1.46,0.21,869.12,64.11,9.63,1.23,4.46,72.03,,,1.55,
648190,648.72,14.93,5.5,103.41,95.37,14.38,26.0,576.71,27.53,1.72,18.06,141.3,520.11,0.76,73.59,1064.99,8.05,0.31,5.1,0.27,2.97,1.33,0.33,1347.18,387.02,76.97,1.32,4.59,56.38,,0.28,,
656972,395.1,10.19,5.04,61.11,57.46,4.13,62.48,773.92,17.06,0.76,51.09,75.22,328.21,1.12,112.62,3768.69,3.65,0.85,4.38,0.51,1.69,0.5,0.67,1148.17,162.25,21.12,1.96,6.14,241.01,0.84,0.32,,
658743,739.42,30.22,4.66,89.73,76.29,22.36,14.93,1741.74,34.36,1.49,118.1,114.88,274.08,0.65,118.3,3565.41,13.44,0.76,4.6,0.25,2.08,6.72,0.34,1522.78,243.46,48.61,1.76,5.38,28.16,,,,
644885,132.62,0.37,0.06,29.46,26.21,1.5,0.0,64.08,3.54,0.25,22.57,36.21,86.64,0.17,36.03,,3.25,0.4,1.15,0.12,0.47,,0.04,569.2,81.73,0.72,0.39,1.47,2.5,,,,
647563,494.68,25.74,15.59,48.73,36.84,15.8,77.63,1271.6,22.46,1.36,22.48,141.49,471.51,0.77,146.37,28280.87,11.89,0.75,5.91,0.28,3.49,5.06,0.77,1584.48,616.9,23.51,2.64,4.58,213.35,0.52,0.55,,
658615,397.1,17.2,11.37,43.53,37.32,12.83,66.75,1086.76,17.99,0.87,211.96,78.5,380.53,0.23,177.35,8308.42,6.21,1.0,2.85,0.38,3.27,3.44,0.88,804.51,470.49,12.75,1.52,3.73,158.64,0.3,1.27,,
