recipe_id,Calories kcal,Fat g,Saturated Fat g,Carbohydrates g,Net Carbohydrates g,Sugar g,Cholesterol mg,Sodium mg,Protein g,Manganese mg,Vitamin C mg,Magnesium mg,Phosphorus mg,Copper mg,Folate µg,Vitamin A IU,Fiber g,Vitamin B6 mg,Iron mg,Vitamin B1 mg,Zinc mg,Vitamin E mg,Vitamin B2 mg,Potassium mg,Calcium mg,Selenium µg,Vitamin B5 mg,Vitamin B3 mg,Vitamin K µg,Vitamin B12 µg,Vitamin D µg,Alcohol g
715769,625.07,30.69,3.32,71.66,62.1,6.45,0.0,971.81,19.86,2.77,81.79,216.62,500.43,0.97,191.83,2019.06,9.56,0.63,5.58,0.42,3.6,3.29,0.33,668.06,139.72,9.03,0.88,1.67,5.16,,,
715495,219.22,7.56,2.53,29.71,23.68,12.21,14.38,808.31,10.2,0.46,161.08,51.16,160.19,0.25,86.96,3465.66,6.02,0.7,2.82,0.2,1.14,3.3,0.26,843.54,76.02,7.09,1.0,4.87,79.04,0.23,,
715573,810.53,45.86,16.47,68.7,60.1,16.2,108.41,1651.8,33.67,1.28,33.63,118.59,431.44,0.87,68.17,823.29,8.6,1.02,6.97,1.08,4.34,4.31,0.46,1450.21,198.85,72.57,1.87,9.36,25.2,1.37,,
659109,439.42,18.74,2.57,45.08,41.17,3.91,38.98,1034.95,25.67,1.75,163.79,163.78,459.41,2.16,145.16,12490.01,3.91,1.23,4.45,0.47,2.55,2.85,0.58,1240.9,214.03,31.2,1.73,7.6,810.88,2.25,,
648279,460.35,2.93,0.56,70.22,65.8,6.1,48.0,344.89,38.29,0.97,115.64,93.53,377.68,0.38,64.78,2447.95,4.42,0.86,4.43,0.18,2.42,1.47,0.24,692.82,67.41,147.4,0.83,15.86,170.7,3.4,1.6,
648257,221.45,0.82,0.19,49.5,24.38,4.55,0.0,427.46,15.21,1.29,54.16,278.35,416.48,1.07,310.98,76.53,25.12,0.57,6.47,0.33,2.32,0.99,0.31,1712.06,224.86,1.49,1.56,4.82,76.29,,,
648247,463.05,7.99,2.04,45.85,35.03,21.81,100.77,3759.75,59.7,3.12,52.02,174.37,831.21,1.77,183.3,2016.18,10.82,1.15,11.42,0.56,4.66,7.7,1.24,3046.45,388.42,137.52,4.06,23.14,121.28,9.75,5.4,
640819,472.27,16.57,5.28,61.69,54.5,9.48,94.59,925.82,21.45,0.99,79.83,76.63,359.44,0.41,199.76,743.25,7.19,0.55,5.62,0.71,2.19,2.77,0.58,896.08,371.32,30.87,1.99,5.94,54.14,0.53,0.53,
1095745,468.07,9.76,1.53,76.92,68.03,5.76,0.0,908.84,21.49,1.54,9.95,82.25,333.85,0.74,226.32,1476.83,8.89,0.75,6.17,0.64,2.49,1.15,0.8,769.29,106.77,41.27,2.35,9.43,75.55,,0.23,
658753,466.44,16.31,2.49,67.36,61.88,10.13,0.0,718.22,13.7,0.79,112.65,52.42,166.26,0.23,201.59,3423.19,5.48,0.43,4.47,0.52,1.35,4.04,0.38,592.54,67.51,27.29,0.69,6.24,27.59,,,
664737,507.53,21.7,8.1,57.6,48.54,17.68,38.62,623.57,24.94,1.23,88.83,115.24,487.92,0.77,127.48,5924.03,9.06,0.65,3.2,0.31,3.25,4.86,0.43,1738.35,458.07,40.87,1.21,4.87,105.74,0.47,0.18,
716300,659.16,23.26,6.57,86.65,80.32,12.65,53.25,839.38,26.82,0.78,67.72,68.9,278.18,0.31,210.89,2268.05,6.32,0.69,2.98,0.83,4.58,2.63,0.48,823.1,38.97,45.75,1.87,7.46,11.52,1.61,,
664565,379.87,3.91,0.7,72.44,60.55,13.16,0.17,944.87,16.75,1.52,50.38,125.56,288.13,0.57,143.21,12048.46,11.89,0.58,4.97,0.3,2.59,2.75,0.24,1520.86,155.17,28.95,0.95,3.11,37.5,,,
658515,232.48,18.01,2.52,16.15,9.67,4.35,0.0,237.71,5.82,0.59,144.82,39.79,119.27,0.12,103.78,1282.6,6.48,0.38,2.52,0.24,0.73,4.01,0.15,669.38,74.17,2.83,0.53,1.27,311.62,,,
1095742,332.88,1.15,0.25,68.35,56.76,10.67,0.0,1466.03,15.87,1.33,35.85,135.02,245.41,0.59,142.88,10060.34,11.58,0.51,6.84,0.32,2.42,3.36,0.2,1382.26,207.43,15.9,0.95,2.66,13.97,,,
715538,521.13,10.27,4.12,69.02,66.07,2.54,67.58,209.26,35.12,0.85,,76.75,448.3,0.32,17.26,81.73,2.94,0.8,1.73,0.69,2.98,0.24,0.26,552.74,144.07,90.42,1.1,8.84,,0.6,0.41,
642095,359.74,11.46,3.29,45.59,42.66,7.64,17.19,386.58,23.22,1.7,26.36,115.07,470.26,0.42,110.01,1887.6,2.93,0.5,2.96,0.34,3.27,1.52,0.49,697.2,467.55,45.61,1.21,3.93,81.23,0.41,,
648275,290.01,13.97,1.92,13.3,8.71,8.44,15.31,836.37,28.8,0.25,110.95,51.97,607.06,0.12,61.4,3769.66,4.59,0.38,1.16,0.1,3.74,3.9,0.34,531.79,842.69,16.16,0.34,1.53,29.87,0.78,,
632935,474.34,5.94,1.74,87.22,79.33,8.18,4.25,940.58,13.4,1.4,27.52,64.1,257.7,0.59,317.3,2229.25,7.89,0.44,8.13,0.82,2.47,2.51,0.35,575.93,149.05,19.42,1.74,5.81,139.49,0.08,,3.09
648176,750.54,52.9,20.14,21.01,17.84,6.23,296.6,1213.0,44.93,0.35,98.48,65.26,499.34,0.39,103.79,5291.8,3.17,1.13,4.63,0.75,7.66,2.94,0.72,943.76,138.71,50.66,2.62,13.13,12.97,3.37,0.92,
643471,685.18,24.12,4.38,105.83,90.57,23.07,5.39,216.13,19.09,0.91,79.6,109.14,250.62,0.39,139.43,4150.24,15.26,0.75,4.48,0.55,2.45,5.13,0.24,1287.29,260.16,3.9,1.24,5.05,43.45,,,
638088,696.42,9.5,3.87,101.96,96.36,11.29,86.2,422.16,44.07,1.24,99.42,114.6,589.95,0.41,80.37,2691.47,5.6,1.31,2.77,0.33,2.99,1.68,0.46,1028.56,159.06,114.09,2.74,15.06,4.48,0.7,1.3,2.06
648259,590.97,31.07,4.64,67.17,57.13,19.05,7.2,435.15,15.13,1.12,35.61,99.73,240.85,0.41,171.77,1572.55,10.04,0.62,5.92,0.78,1.75,4.95,0.52,827.55,233.74,20.18,1.05,7.15,52.99,0.26,,
646549,527.86,6.9,2.71,93.41,88.04,0.9,78.97,1181.32,22.34,2.05,33.36,126.15,244.33,0.4,363.04,10947.41,5.37,0.34,8.64,0.88,2.13,2.55,0.89,818.83,241.68,51.27,0.4,9.03,551.09,0.23,0.34,
1095740,440.15,23.92,3.1,49.95,37.97,27.45,0.0,443.73,11.71,1.52,88.91,119.75,255.11,0.59,274.25,873.81,11.98,0.56,3.55,0.49,1.92,5.63,0.24,1073.9,139.37,18.34,0.97,3.19,92.83,,,
1095751,296.04,1.12,0.21,61.47,54.08,11.64,0.0,971.9,8.92,1.11,90.39,65.19,187.42,0.33,209.95,2696.56,7.39,0.49,3.74,0.51,1.71,1.46,0.21,869.12,64.11,9.63,1.23,4.46,72.03,,,1.55
647124,709.68,41.02,8.32,70.36,63.98,4.52,15.11,1067.53,15.85,0.88,103.58,57.28,180.34,0.28,287.11,2833.05,6.38,0.44,4.74,1.15,1.41,7.39,0.68,493.78,205.49,25.43,1.31,7.49,56.81,,,
648190,648.72,14.93,5.5,103.41,95.37,14.38,26.0,576.71,27.53,1.72,18.06,141.3,520.11,0.76,73.59,1064.99,8.05,0.31,5.1,0.27,2.97,1.33,0.33,1347.18,387.02,76.97,1.32,4.59,56.38,0.28,,
656972,395.1,10.19,5.04,61.11,57.46,4.13,62.48,773.92,17.06,0.76,51.09,75.22,328.21,1.12,112.62,3768.69,3.65,0.85,4.38,0.51,1.69,0.5,0.67,1148.17,162.25,21.12,1.96,6.14,241.01,0.32,0.84,
658743,739.42,30.22,4.66,89.73,76.29,22.36,14.93,1741.74,34.36,1.49,118.1,114.88,274.08,0.65,118.3,3565.41,13.44,0.76,4.6,0.25,2.08,6.72,0.34,1522.78,243.46,48.61,1.76,5.38,28.16,,,
644885,132.62,0.37,0.06,29.46,26.21,1.5,0.0,64.08,3.54,0.25,22.57,36.21,86.64,0.17,36.03,,3.25,0.4,1.15,0.12,0.47,,0.04,569.2,81.73,0.72,0.39,1.47,2.5,,,
657312,408.53,7.21,1.98,74.74,70.09,5.48,57.96,299.37,13.48,0.7,15.03,72.13,271.46,0.36,122.37,14317.91,4.65,0.35,4.2,0.51,1.9,2.34,0.51,747.34,166.14,26.09,1.01,4.17,4.32,0.19,0.32,
647563,494.68,25.74,15.59,48.73,36.84,15.8,77.63,1271.6,22.46,1.36,22.48,141.49,471.51,0.77,146.37,28280.87,11.89,0.75,5.91,0.28,3.49,5.06,0.77,1584.48,616.9,23.51,2.64,4.58,213.35,0.55,0.52,
1096088,648.85,24.38,9.59,60.4,50.25,9.3,117.11,1938.02,49.76,2.27,12.9,205.16,634.34,0.72,83.79,1237.35,10.15,1.33,16.71,0.2,4.54,5.32,0.6,1544.86,664.76,82.35,2.58,15.14,268.36,1.52,0.34,
658615,397.1,17.2,11.37,43.53,37.32,12.83,66.75,1086.76,17.99,0.87,211.96,78.5,380.53,0.23,177.35,8308.42,6.21,1.0,2.85,0.38,3.27,3.44,0.88,804.51,470.49,12.75,1.52,3.73,158.64,1.27,0.3,
641893,704.74,41.26,19.13,44.9,40.26,17.29,115.2,2465.76,39.39,0.45,16.71,85.06,791.07,0.42,96.98,1652.47,4.64,0.57,5.68,0.38,6.11,3.97,0.74,1179.65,652.75,30.56,1.83,7.71,15.28,3.18,0.75,
656571,623.06,26.77,8.67,48.38,43.14,10.65,177.29,1572.15,45.94,0.65,105.08,88.07,585.87,0.31,132.4,3319.67,5.23,1.28,4.88,0.6,3.21,5.08,0.69,1120.39,381.61,64.63,2.85,16.87,17.04,1.45,0.68,
663136,907.47,35.08,11.0,104.96,96.5,25.91,83.74,2530.11,45.65,1.43,51.51,139.92,630.25,0.74,319.96,3431.75,8.47,1.04,7.2,1.28,4.28,3.85,0.96,950.56,379.55,63.85,2.6,19.71,52.51,0.77,0.26,
1697699,1261.39,98.84,29.5,61.67,51.0,12.29,172.37,4014.18,38.27,1.5,125.58,205.08,501.73,9.65,173.5,49482.2,10.67,1.52,7.64,1.79,5.1,10.54,0.5,2370.33,315.75,59.27,3.13,13.09,267.49,2.06,,
655400,463.38,25.35,4.26,49.19,45.06,8.01,8.67,508.51,12.8,1.57,5.97,64.97,221.63,0.36,118.14,896.77,4.13,0.14,3.82,0.35,1.76,3.4,0.28,279.85,155.45,19.6,0.36,3.92,84.07,0.09,,
648155,261.3,5.22,1.25,25.4,22.29,2.83,52.77,155.99,31.04,0.45,47.0,72.93,389.85,0.64,36.59,2231.38,3.1,1.23,3.03,0.18,2.49,0.44,0.28,1078.45,112.67,22.11,1.23,13.75,166.49,0.76,0.38,
654125,406.49,17.79,3.83,7.1,6.2,2.79,170.7,304.64,45.08,0.15,22.22,59.99,466.02,0.22,53.0,658.49,0.89,1.12,2.41,0.23,9.26,1.72,0.68,888.59,63.29,19.54,3.05,17.89,50.58,3.07,,4.12
1046983,523.55,26.2,14.81,21.38,16.31,14.15,146.14,1253.11,53.67,0.63,79.11,120.28,728.53,0.38,105.57,2673.5,5.07,1.59,3.93,0.25,5.66,2.77,0.75,1543.2,549.2,46.74,2.2,13.68,61.35,2.16,0.84,
640314,636.98,30.46,14.69,44.11,39.01,6.3,139.34,2075.65,46.33,0.58,143.56,120.91,770.16,1.23,181.28,4595.57,5.1,0.66,4.67,0.38,9.0,3.25,0.47,947.75,201.81,76.95,1.21,5.69,256.95,11.96,0.38,
649270,519.17,33.3,18.61,24.47,14.51,12.58,155.36,1734.78,34.25,1.49,171.91,152.93,451.63,0.61,341.05,17294.95,9.95,0.76,5.91,0.26,3.6,7.48,0.69,1632.56,863.88,18.7,2.21,3.8,691.82,1.53,0.68,
651922,400.99,11.35,6.52,62.59,49.08,10.23,25.8,1254.03,15.74,1.81,70.1,140.8,360.56,0.47,161.79,8775.22,13.51,0.81,4.07,0.42,2.22,1.65,0.33,1305.58,270.28,6.4,1.25,3.45,211.53,0.13,0.18,
157991,383.51,20.35,6.7,34.34,28.77,4.84,20.4,694.0,18.13,0.81,50.96,73.3,360.93,0.52,81.24,2670.1,5.57,0.47,2.59,0.19,1.87,2.33,0.22,829.65,438.04,14.36,0.62,1.9,140.86,0.36,,
658632,413.72,9.12,3.52,68.27,54.14,9.63,18.15,712.57,17.51,1.57,7.03,125.8,301.66,0.62,44.98,12876.47,14.13,0.51,5.63,0.56,2.47,1.6,0.52,896.17,95.99,31.16,0.57,8.38,23.76,,,
638236,431.38,15.7,5.85,43.54,38.3,7.11,78.87,409.96,29.05,0.74,137.83,76.86,384.12,0.34,92.84,3783.89,5.24,1.08,2.91,0.25,1.98,3.34,0.31,898.06,136.17,57.26,1.95,11.42,54.62,0.27,0.22,
642297,528.74,28.54,9.61,50.26,42.82,9.99,39.87,288.09,20.73,0.96,39.65,70.85,388.43,0.62,72.51,710.03,7.43,0.44,2.03,0.21,2.67,3.33,0.55,912.71,326.9,54.12,1.74,4.36,26.24,0.42,0.24,
663366,477.55,13.16,5.64,70.08,65.42,7.16,32.78,986.13,19.36,0.7,23.92,43.11,253.84,0.26,202.02,1545.56,4.66,0.3,5.05,0.97,2.34,2.12,0.65,458.98,175.99,35.42,1.03,7.09,8.73,1.02,,
634891,635.43,25.98,12.98,43.87,41.69,3.21,219.07,1028.38,53.33,0.52,1.36,70.79,685.75,0.18,97.33,722.65,2.18,0.97,3.91,0.62,4.02,0.65,0.7,607.2,562.73,73.74,2.39,15.56,4.59,2.35,0.89,
660292,148.94,1.7,0.26,28.6,22.21,9.06,0.0,656.43,6.7,0.76,27.6,50.47,137.65,0.27,106.22,5260.26,6.39,0.31,2.14,0.14,1.13,0.98,0.13,642.98,62.46,7.43,0.47,1.48,20.77,,,
655847,825.97,36.57,14.97,92.66,84.88,13.51,68.29,1496.94,32.47,0.95,57.25,81.72,522.04,0.37,250.4,3036.58,7.78,0.44,6.44,1.0,3.81,3.95,0.86,803.31,569.99,42.93,1.34,7.84,20.79,1.27,0.37,
656544,458.59,24.96,14.51,43.62,34.27,6.36,150.65,658.14,20.06,0.87,70.22,126.86,337.83,0.41,204.73,3060.24,9.35,0.65,2.39,0.28,2.78,1.12,0.29,717.83,290.68,18.12,1.1,2.19,158.14,0.77,0.85,
633661,1249.21,66.96,34.97,97.36,92.24,56.52,291.91,2827.71,67.5,0.72,49.47,123.32,1367.31,0.49,118.45,2547.46,5.12,0.62,6.22,0.54,8.76,4.79,1.17,1071.29,1574.21,51.73,2.4,4.56,57.45,5.46,1.32,
652856,354.98,21.52,3.74,30.08,25.49,7.57,8.6,1121.54,11.68,0.51,30.1,64.03,154.58,0.34,72.85,2638.18,4.59,0.34,3.09,0.2,1.2,3.6,0.29,740.48,91.31,11.23,0.33,4.56,235.18,,,
1095810,608.15,40.19,12.64,36.9,23.32,13.62,148.94,2036.35,34.42,1.14,221.84,95.27,323.4,0.42,273.48,2742.83,13.59,1.05,5.38,0.37,2.51,1.94,0.5,1817.7,1304.76,19.85,3.79,4.62,144.73,0.68,0.5,
648048,620.06,30.96,7.95,41.52,34.62,17.58,93.89,2625.0,40.51,0.75,31.41,111.29,494.3,0.66,90.83,1936.88,6.9,1.29,8.2,0.62,6.92,7.67,0.63,1808.79,200.31,46.3,2.3,14.41,83.66,2.73,0.18,3.18
660215,896.18,46.23,17.62,77.13,69.27,15.46,120.38,1155.5,44.95,1.24,27.57,128.42,594.71,0.8,70.61,1436.12,7.85,0.94,7.21,0.31,7.61,5.87,0.54,1454.64,411.99,75.2,1.86,9.41,42.93,2.79,0.3,
636610,643.78,27.93,12.37,58.34,53.57,8.04,103.29,1640.8,38.59,0.82,112.33,88.25,558.18,0.24,189.87,10574.65,4.78,1.07,4.19,0.52,3.26,3.34,0.52,726.75,553.81,34.21,2.32,13.0,21.09,1.14,0.62,
644830,515.58,13.73,2.04,87.69,80.09,1.48,0.0,559.95,10.29,3.12,3.63,111.56,322.33,0.34,55.09,195.02,7.59,0.48,2.55,0.61,2.36,1.94,0.13,350.11,51.79,16.56,1.08,4.03,9.65,,,
650397,855.39,22.91,9.06,115.75,108.73,15.14,94.79,2207.1,47.42,1.72,129.91,124.89,879.78,0.57,90.15,2059.57,7.02,0.61,3.41,0.31,3.95,2.32,0.83,1039.7,486.76,106.38,2.37,3.88,14.88,1.57,0.66,
