recipe_id,Calories kcal,Fat g,Saturated Fat g,Carbohydrates g,Net Carbohydrates g,Sugar g,Cholesterol mg,Sodium mg,Alcohol g,Protein g,Selenium µg,Phosphorus mg,Manganese mg,Vitamin B6 mg,Vitamin B12 µg,Vitamin B3 mg,Potassium mg,Magnesium mg,Copper mg,Vitamin K µg,Vitamin B1 mg,Zinc mg,Vitamin D µg,Vitamin B5 mg,Vitamin B2 mg,Vitamin E mg,Iron mg,Calcium mg,Folate µg,Fiber g,Vitamin C mg,Vitamin A IU
642929,440.73,5.16,0.86,57.98,56.72,0.41,73.14,628.75,0.6,36.05,67.33,436.99,0.83,0.55,1.58,4.98,824.97,81.55,0.31,13.15,0.19,1.64,1.53,0.99,0.17,1.25,1.48,71.25,24.01,1.25,3.06,127.9
4273,110.7,1.32,0.32,7.01,6.53,4.66,57.03,556.86,,16.92,30.34,202.28,0.12,0.27,0.83,2.32,438.05,34.0,0.06,4.28,0.08,0.57,0.88,0.27,0.11,0.99,0.9,30.28,11.16,0.49,3.55,375.85
642927,397.77,20.37,3.5,27.85,25.68,2.75,78.47,503.3,,25.05,47.82,339.21,0.29,0.39,1.33,5.69,643.22,55.2,0.16,137.03,0.32,1.34,2.47,0.77,0.31,3.23,2.66,164.37,64.91,2.17,20.55,798.49
642941,382.92,21.42,11.91,20.94,15.76,10.12,62.37,402.32,,29.84,12.33,295.23,0.79,0.26,,13.49,965.66,88.84,0.5,28.04,0.13,3.51,,0.46,0.09,2.62,7.56,82.49,149.63,5.18,42.97,820.17
642977,750.6,31.42,7.87,63.11,51.58,11.03,114.45,915.4,6.18,46.08,68.53,610.79,0.97,2.51,5.52,18.37,2424.66,175.89,0.9,89.91,0.75,2.69,0.4,3.94,0.97,2.75,5.21,193.14,197.17,11.53,101.05,3289.66
631894,850.25,38.0,11.06,84.7,80.3,4.32,109.14,2693.1,,40.69,97.8,571.57,0.85,0.67,3.88,9.85,1107.4,100.9,0.33,37.43,0.85,1.89,2.38,1.28,0.65,1.95,5.87,140.27,174.5,4.4,17.47,384.93
648974,487.83,8.88,2.47,53.01,48.71,6.75,102.0,682.72,,49.69,105.34,523.01,0.69,0.47,3.3,12.0,960.58,87.09,0.34,22.03,0.63,1.5,6.32,1.36,0.32,1.42,4.65,146.04,166.51,4.3,16.69,749.93
663108,391.05,20.36,3.16,17.23,12.82,6.5,156.84,1374.4,,36.95,72.47,367.56,0.41,0.63,2.63,7.4,867.68,106.38,0.26,60.74,0.19,1.29,5.09,1.39,0.35,3.97,3.3,113.9,102.35,4.41,48.66,3642.07
632983,413.42,26.37,21.63,12.55,9.95,5.24,75.0,165.36,1.21,33.32,63.22,352.52,1.07,0.38,2.38,37.52,770.73,67.94,0.39,4.05,0.11,1.27,4.65,1.01,0.13,1.04,2.94,52.94,379.59,2.6,91.39,2150.12
641123,622.74,6.09,1.67,73.95,68.12,29.61,137.5,1088.0,0.2,64.51,32.81,549.91,0.95,0.43,,2.56,1361.45,124.03,0.79,17.69,0.2,7.56,,0.53,0.23,2.11,9.22,117.21,63.91,5.83,29.6,760.78
716369,721.51,39.59,31.75,89.81,74.64,20.34,31.1,316.83,,11.15,5.36,342.35,2.88,1.12,,3.54,1815.79,172.3,1.0,89.14,0.38,2.16,0.27,3.28,0.29,1.7,7.68,191.64,87.68,15.18,98.92,49391.15
652080,194.91,2.86,0.51,26.36,23.87,3.33,12.6,1171.54,0.54,14.94,35.38,213.88,0.52,0.21,0.51,2.6,425.21,41.94,0.23,12.02,0.09,1.11,,0.33,0.13,0.27,1.37,46.71,72.82,2.49,5.38,468.83
639658,333.63,13.16,1.32,18.28,14.54,4.7,55.5,282.71,0.81,35.08,57.08,321.28,0.3,0.69,0.92,2.15,1020.5,73.75,0.13,60.7,0.2,1.36,,1.86,0.11,1.81,2.43,126.39,56.87,3.74,28.59,1223.79
655733,401.32,25.49,4.12,23.81,21.53,3.44,70.78,362.45,,18.7,33.03,254.79,0.28,0.42,0.93,3.24,656.28,50.36,0.15,48.83,0.27,0.99,1.19,0.63,0.22,4.18,1.83,85.23,41.67,2.27,14.33,206.72
645710,536.55,31.42,8.34,24.45,22.63,4.35,112.07,1596.98,,39.31,82.13,354.91,0.36,0.34,2.82,8.82,661.13,63.49,0.22,98.8,0.38,1.1,5.44,0.95,0.23,1.95,2.91,127.83,94.69,1.82,6.13,559.37
658585,175.77,14.71,1.19,9.18,7.1,4.53,4.1,61.68,,3.33,4.06,57.31,0.27,0.16,,1.93,385.16,22.64,0.12,32.12,0.08,0.44,,0.22,0.06,3.3,0.9,38.71,26.85,2.08,18.91,1167.45
645714,704.64,22.31,3.79,86.09,77.81,73.69,100.0,836.54,,49.49,87.99,583.05,1.36,0.58,3.16,13.36,2781.6,187.54,1.15,44.45,0.44,2.15,6.2,2.41,0.45,3.13,7.21,119.88,101.47,8.28,25.96,586.63
645711,580.22,22.53,4.39,40.76,34.45,6.6,114.02,738.43,1.25,53.71,110.68,571.7,0.59,0.64,3.68,12.56,1305.2,102.06,0.4,32.95,0.47,1.66,7.03,2.07,0.35,3.74,3.95,121.44,191.38,6.32,24.3,986.62
654403,441.36,32.0,12.0,33.58,29.53,4.59,52.24,466.55,,7.68,17.07,91.3,0.32,0.3,0.26,3.22,314.64,25.71,0.1,16.38,0.31,0.52,0.75,0.57,0.25,4.3,2.25,32.12,102.35,4.05,123.93,2874.79
