recipe_id,Calories kcal,Fat g,Saturated Fat g,Carbohydrates g,Net Carbohydrates g,Sugar g,Cholesterol mg,Sodium mg,Alcohol g,Protein g,Vitamin B3 mg,Selenium µg,Vitamin B6 mg,Phosphorus mg,Vitamin K µg,Potassium mg,Vitamin B2 mg,Vitamin B12 µg,Vitamin B5 mg,Calcium mg,Zinc mg,Magnesium mg,Vitamin B1 mg,Manganese mg,Vitamin C mg,Iron mg,Folate µg,Fiber g,Vitamin A IU,Copper mg,Vitamin E mg,Vitamin D µg,Caffeine mg
649225,763.16,32.56,10.88,35.64,29.69,20.59,261.5,1587.14,1.05,78.7,30.58,104.77,2.15,986.46,59.93,1844.61,0.89,3.01,4.81,478.31,6.2,137.55,0.46,0.6,24.71,4.58,100.48,5.95,1089.49,0.42,2.94,1.57,
649196,138.47,6.38,2.05,2.62,1.92,1.07,51.44,236.1,,17.23,3.74,6.84,0.39,155.84,4.72,296.75,0.27,1.93,0.64,16.54,3.25,23.41,0.1,0.1,27.2,2.05,6.67,0.69,183.37,0.14,0.64,,
649248,880.02,67.66,25.15,20.05,14.52,8.1,165.56,704.48,,46.29,16.23,46.1,0.54,467.74,42.05,977.95,0.69,5.25,2.13,85.11,8.77,80.66,0.48,0.49,39.8,4.93,103.44,5.53,10639.23,0.45,3.04,0.27,
649199,422.46,15.29,8.17,57.1,47.83,32.1,52.03,384.53,,20.46,2.91,11.33,0.82,498.5,33.62,1642.14,0.7,1.51,1.97,536.79,3.54,119.8,0.35,0.89,72.62,3.72,112.34,9.27,4008.23,0.36,2.94,0.39,
649182,318.45,8.31,1.9,50.71,45.51,11.95,34.6,657.3,,11.55,2.3,7.04,0.26,111.45,40.51,628.17,0.14,0.16,0.49,75.82,0.84,35.28,0.23,0.46,28.03,12.4,70.18,5.2,2001.42,0.17,1.39,0.19,
649186,322.26,9.6,3.15,25.88,18.82,10.91,67.2,350.8,4.2,26.6,10.96,30.76,0.74,364.69,22.85,969.92,0.62,2.61,2.3,58.67,5.61,70.82,0.39,0.66,121.36,3.36,115.31,7.05,6325.59,0.43,1.67,0.26,
649214,286.27,22.79,3.72,21.63,15.87,14.08,0.16,649.93,,3.75,1.8,1.53,0.34,89.97,32.65,647.46,0.11,,0.38,66.19,0.78,50.41,0.12,0.56,69.53,2.0,34.43,5.76,1510.31,0.34,4.89,,7.02
157834,695.81,46.25,21.11,35.89,31.06,3.75,141.19,357.87,,33.2,12.34,33.77,0.81,392.47,10.45,1210.24,0.44,4.05,1.73,66.06,6.58,83.61,0.36,0.39,38.64,4.21,70.39,4.83,161.36,0.4,0.52,0.27,
649178,961.33,64.04,23.74,70.29,64.54,7.85,87.43,1702.52,3.18,20.8,7.41,27.62,0.36,230.23,27.57,601.55,0.47,1.36,1.5,74.37,2.94,59.42,0.58,0.82,13.94,4.93,126.48,5.75,12768.06,0.32,3.79,0.41,
649187,592.64,23.43,3.48,65.21,58.48,13.52,61.88,378.45,,33.53,2.66,19.12,0.41,366.63,89.23,1164.87,0.21,,0.89,91.63,4.11,125.56,0.32,1.26,65.08,6.22,84.82,6.74,1392.35,0.62,5.45,,
716338,615.64,52.69,29.85,10.07,6.6,1.86,110.37,110.44,,28.19,10.11,30.0,0.38,354.46,17.59,766.88,0.35,3.49,1.17,87.51,6.03,94.69,0.23,1.04,14.92,7.38,60.26,3.46,495.68,0.44,2.35,0.15,
649195,613.89,36.9,13.41,31.79,30.0,8.15,129.62,539.47,,37.65,9.22,47.35,0.43,438.58,76.95,664.6,0.74,3.69,1.57,262.39,5.28,62.63,0.48,0.49,16.77,4.13,101.44,1.79,455.47,0.29,1.47,0.33,
649183,372.55,33.43,11.63,1.13,0.68,0.26,63.88,161.7,,16.64,4.73,15.12,0.2,178.37,102.15,283.6,0.27,1.78,0.64,59.75,2.87,34.16,0.11,0.23,5.73,2.09,52.58,0.44,1967.58,0.24,2.46,0.15,
651180,527.19,25.97,7.68,8.5,4.2,1.82,189.13,527.54,,63.15,13.29,25.83,1.13,570.33,45.57,992.06,0.99,7.1,2.31,97.46,12.05,85.45,0.34,0.34,10.65,8.64,8.66,4.3,1326.62,0.49,2.22,,
660961,850.06,50.96,19.92,37.89,35.45,4.14,161.11,1344.17,,57.13,16.95,45.05,0.78,459.49,11.38,661.32,0.48,4.22,1.86,208.46,7.37,72.61,0.38,0.41,3.36,4.34,52.21,2.45,135.65,0.33,1.62,0.4,
641079,476.76,31.34,14.33,28.77,24.02,6.06,73.36,233.06,,19.76,0.93,0.79,0.13,53.72,11.18,254.42,0.06,,0.12,32.53,0.49,19.46,0.1,0.24,20.01,6.31,28.87,4.75,777.51,0.1,0.44,,
635834,349.51,12.13,4.81,12.88,11.07,9.26,128.6,866.21,,44.2,10.05,16.85,1.0,401.38,3.84,799.36,0.73,4.83,1.82,36.84,8.2,61.35,0.29,0.48,101.05,4.59,47.39,1.81,2337.05,0.34,1.19,,
657710,536.08,48.58,20.75,4.73,4.14,0.87,99.69,193.49,,19.05,7.92,23.67,0.18,187.19,33.72,284.31,0.26,2.6,0.85,44.8,3.5,28.4,0.18,0.11,3.47,2.26,29.93,0.59,235.32,0.13,0.88,,
654432,491.85,43.3,14.74,6.67,4.29,1.66,83.62,295.05,,20.62,8.07,22.13,0.26,240.36,75.7,435.76,0.3,2.31,0.86,48.9,3.62,56.11,0.18,0.89,21.28,3.33,37.3,2.38,1105.11,0.29,2.86,,
660290,567.0,24.06,8.76,17.84,15.15,4.95,212.21,776.64,,67.4,21.08,75.49,0.8,685.77,12.82,1491.03,0.93,8.63,2.83,92.2,13.51,112.02,0.5,0.8,10.37,7.34,93.26,2.69,1104.32,0.6,2.34,,
644889,620.1,39.06,19.2,27.31,18.53,17.83,194.37,904.68,,43.25,2.9,18.92,0.46,493.77,16.57,1049.28,0.51,1.04,1.85,652.05,2.59,83.32,0.22,0.74,15.07,4.19,84.18,8.77,720.21,0.41,2.55,0.63,
1096265,855.96,68.47,23.39,20.58,14.91,11.73,144.87,854.52,,40.36,17.81,50.2,0.57,494.97,89.8,1369.7,1.0,4.72,3.41,92.49,7.92,88.12,0.39,0.53,20.27,5.47,171.21,5.67,5534.84,0.7,3.7,0.44,
632901,351.71,7.65,2.37,17.5,15.53,5.54,127.31,3594.16,3.92,46.44,12.91,46.51,0.53,457.56,1.79,703.1,0.51,4.54,1.65,70.99,11.46,86.92,0.27,0.64,10.16,5.98,63.66,1.96,174.75,0.33,0.88,,
665550,384.72,18.13,4.54,3.54,2.48,0.58,153.27,208.47,,50.29,15.22,56.47,0.46,495.94,5.45,828.31,0.64,6.45,1.77,72.17,9.5,86.49,0.37,0.29,,8.1,56.59,1.07,643.91,0.36,2.07,,
633932,886.89,74.54,28.55,12.98,12.24,10.71,167.24,319.02,,37.6,14.73,45.52,0.33,362.78,19.04,562.97,0.48,4.61,1.48,73.16,5.85,59.6,0.28,0.21,,4.57,42.11,0.73,75.49,0.27,2.64,,
1098301,630.43,14.64,3.06,76.36,62.32,16.56,91.44,707.46,6.3,41.02,15.41,39.73,1.41,546.12,49.82,2259.31,0.66,3.86,2.62,183.43,7.42,160.67,0.73,1.23,81.47,9.35,159.25,14.04,8570.59,0.97,4.55,,
1697565,567.21,26.91,7.3,4.01,2.75,0.17,228.51,1967.54,,74.04,22.32,84.82,0.69,702.25,10.0,1097.87,0.91,9.64,2.63,55.14,13.84,104.94,0.52,0.47,4.1,7.18,85.98,1.26,,0.5,2.33,,
641973,389.96,14.75,4.86,1.71,1.19,0.47,182.89,1054.22,,59.2,18.01,67.44,0.54,561.33,124.54,896.44,0.73,7.72,2.13,32.89,11.1,82.74,0.42,0.13,22.51,5.77,81.74,0.52,930.85,0.38,1.08,,
642091,625.26,40.53,17.88,36.34,31.26,5.44,144.7,490.27,,28.73,10.62,29.79,0.74,373.44,36.81,1222.61,0.48,3.22,1.6,95.47,5.49,80.48,0.37,0.4,40.85,4.35,75.76,5.08,2440.69,0.39,1.25,0.65,
1052360,360.16,9.72,2.99,30.42,25.66,7.86,92.14,720.56,1.15,34.65,11.55,34.99,0.84,399.37,11.04,1283.28,0.61,3.88,1.88,65.25,6.68,89.0,0.37,0.42,109.78,4.41,93.84,4.76,10582.26,0.42,1.76,,
649254,334.86,32.04,7.81,5.81,5.37,2.01,29.04,381.4,,7.1,2.12,11.83,0.28,103.34,8.74,392.91,0.09,0.22,0.35,30.06,0.9,18.93,0.2,0.23,34.54,1.53,17.27,0.43,3611.26,0.11,2.26,0.18,
654313,337.85,12.73,8.91,43.21,35.69,5.59,14.4,77.21,,15.68,12.34,1.35,0.33,78.84,7.57,378.11,0.04,,0.23,67.41,0.55,36.63,0.07,0.58,60.9,4.54,144.77,7.53,631.89,0.17,0.72,,
646071,496.04,22.64,9.07,50.28,46.98,3.87,60.5,862.83,,22.05,6.49,16.18,0.27,260.72,44.86,494.87,0.32,1.9,1.06,167.57,3.7,55.23,0.34,0.68,10.43,3.59,49.04,3.3,486.65,0.28,0.85,,
649403,583.24,41.43,13.81,22.57,18.07,5.03,91.96,119.19,,31.6,8.4,30.34,0.34,424.09,14.36,585.65,0.53,3.25,1.3,134.58,5.47,95.73,0.25,1.65,4.15,3.05,44.35,4.51,110.95,0.36,2.17,,
57810,936.72,47.85,16.28,58.55,43.42,24.11,190.04,3110.22,9.36,53.2,13.97,47.99,1.9,634.19,49.36,2101.63,0.78,2.25,2.81,177.83,8.4,137.9,1.86,1.05,81.07,9.6,117.85,15.13,210.23,0.73,0.91,1.56,
637275,501.99,24.02,8.09,33.36,27.98,4.54,112.71,1182.67,,36.88,10.0,35.42,0.33,301.82,22.65,832.2,0.37,2.62,1.04,116.95,5.08,73.71,0.46,0.69,15.73,5.57,96.7,5.38,3653.13,0.37,1.03,,
664828,316.6,8.13,1.86,37.71,35.98,6.09,50.18,835.45,,22.04,5.23,19.41,0.18,152.59,5.8,267.46,0.2,1.7,0.56,30.26,2.48,35.6,0.12,0.33,1.22,12.47,25.44,1.73,,0.14,0.22,,
651076,581.05,49.67,17.39,3.77,3.01,1.26,110.37,874.5,1.95,25.51,9.16,28.78,0.25,252.15,30.52,428.84,0.34,3.49,1.06,42.96,5.27,39.87,0.18,0.24,6.05,2.78,35.5,0.77,890.46,0.18,2.41,0.15,
651914,410.38,28.82,9.92,25.66,21.35,2.53,45.63,244.28,,13.87,10.88,12.93,0.49,199.78,19.74,747.34,0.19,1.44,0.81,64.0,2.82,59.52,0.19,0.79,35.53,3.52,99.92,4.31,179.53,0.27,2.38,,
663121,636.85,51.23,16.2,25.74,22.06,5.69,75.9,417.14,,21.02,7.87,20.6,0.66,277.54,33.0,959.83,0.29,2.33,1.13,67.38,4.23,80.02,0.25,1.12,76.7,4.44,59.19,3.68,510.52,0.38,4.51,,
648774,738.26,58.01,26.11,7.64,6.93,6.37,182.81,1129.36,,44.14,14.97,46.98,0.39,507.73,9.69,832.75,0.72,5.83,2.06,212.9,8.61,71.06,0.3,0.29,0.88,4.29,53.98,0.71,858.26,0.26,0.97,0.36,
1095880,852.24,54.11,24.43,60.55,51.42,12.31,137.25,921.62,,32.38,12.71,28.27,1.09,485.05,28.06,2000.43,0.64,3.06,1.85,150.33,6.09,119.51,0.56,0.68,72.62,6.34,110.08,9.13,6129.67,0.64,4.25,0.82,
636096,819.67,59.27,26.65,40.47,35.27,5.04,200.01,327.87,,31.31,11.23,33.49,0.82,394.59,16.35,1237.38,0.46,3.65,1.8,87.76,5.96,83.01,0.38,0.43,42.08,4.26,83.73,5.2,762.49,0.39,2.02,0.85,
655771,235.96,10.82,2.53,10.28,8.83,7.24,73.71,282.64,,23.67,6.97,26.71,0.21,227.67,23.32,539.29,0.3,3.1,0.88,78.95,4.83,41.5,0.17,0.19,6.35,2.25,33.12,1.46,69.59,0.2,1.26,,
