recipe_id,Calories kcal,Fat g,Saturated Fat g,Carbohydrates g,Net Carbohydrates g,Sugar g,Cholesterol mg,Sodium mg,Protein g,Phosphorus mg,Selenium µg,Vitamin B2 mg,Vitamin B6 mg,Fiber g,Potassium mg,Magnesium mg,Manganese mg,Calcium mg,Vitamin B5 mg,Zinc mg,Iron mg,Folate µg,Copper mg,Vitamin B12 µg,Vitamin A IU,Vitamin D µg,Vitamin B1 mg,Vitamin B3 mg,Vitamin C mg,Vitamin E mg,Vitamin K µg,Alcohol g,Caffeine mg
511748,339.82,14.43,6.23,37.38,32.66,1.88,295.56,417.12,16.14,408.0,27.84,0.44,0.39,4.72,596.19,67.6,0.31,154.88,1.48,2.2,2.63,54.79,0.25,0.74,585.87,1.6,0.15,1.82,7.31,1.05,3.18,,
636062,346.09,13.01,5.07,52.76,50.15,38.44,129.97,257.45,7.55,166.25,16.58,0.32,0.24,2.61,510.46,77.72,1.31,103.44,0.89,1.53,2.54,24.39,0.3,0.28,382.23,0.62,0.1,0.67,,0.43,1.18,,
636066,37.06,1.2,0.57,5.64,5.47,1.29,2.79,39.95,0.89,12.18,2.21,0.04,,,,,0.04,,,,0.28,10.67,,,,,0.05,0.34,,,,,
636080,123.52,6.33,1.4,17.13,16.53,15.64,3.88,33.97,0.78,23.05,,0.02,0.02,0.6,51.91,9.24,0.29,22.08,,0.31,0.28,,0.08,,,,0.04,,,0.16,,,
636026,1164.92,83.18,38.12,59.88,58.18,15.41,226.59,2487.23,42.98,698.59,34.35,0.78,0.66,1.69,1121.06,74.06,0.61,477.45,2.6,5.54,3.1,47.7,3.32,2.83,1542.44,5.95,0.69,9.18,1.55,1.6,4.25,,
1096243,300.77,4.15,1.05,63.47,60.31,31.26,20.46,312.07,4.63,67.15,12.49,0.24,0.09,3.16,280.25,20.92,0.31,22.11,0.38,0.44,1.86,61.08,0.14,,284.5,,0.26,2.46,,0.41,21.22,,
641185,343.86,13.55,5.0,41.58,39.91,4.97,29.01,566.03,12.92,156.03,16.65,0.3,0.37,1.67,402.19,29.27,0.11,67.33,0.5,1.1,1.29,33.69,0.17,0.28,926.65,,0.22,4.68,38.95,0.6,33.71,,
661984,642.67,44.89,25.78,29.82,26.43,3.18,156.31,630.23,30.72,403.23,23.91,0.42,0.8,3.39,1182.89,68.39,0.38,97.78,1.55,5.87,4.55,54.51,1.57,2.63,510.69,0.57,0.23,7.04,20.79,0.78,11.57,,
658134,368.2,22.39,10.64,26.46,24.98,6.58,222.5,884.11,14.37,180.62,31.84,0.38,0.19,1.48,212.52,18.41,0.21,48.43,1.33,1.8,2.41,72.33,0.11,0.99,724.16,0.92,0.25,2.32,7.74,1.0,1.33,,
716433,127.75,0.82,0.14,32.42,28.79,6.57,0.13,9.57,1.16,36.92,0.73,0.08,0.1,3.63,322.38,15.5,0.12,14.14,,,0.91,5.12,0.13,,,,0.06,0.48,4.51,0.46,1.38,,
