recipe_id,Calories kcal,Fat g,Saturated Fat g,Carbohydrates g,Net Carbohydrates g,Sugar g,Cholesterol mg,Sodium mg,Protein g,Vitamin C mg,Vitamin B12 µg,Selenium µg,Zinc mg,Vitamin B6 mg,Vitamin B3 mg,Phosphorus mg,Vitamin A IU,Vitamin B2 mg,Potassium mg,Iron mg,Folate µg,Vitamin B5 mg,Fiber g,Vitamin E mg,Vitamin K µg,Vitamin B1 mg,Magnesium mg,Copper mg,Manganese mg,Calcium mg,Vitamin D µg,Alcohol g
650377,1028.27,82.55,27.02,17.57,8.74,4.22,354.8,732.38,53.8,105.74,5.47,57.9,11.61,1.46,13.95,606.81,2756.88,0.78,1477.49,7.16,154.65,3.72,8.83,4.9,29.12,0.37,94.72,0.43,0.34,108.87,1.29,
662584,225.13,7.85,6.33,36.06,30.76,9.11,27.28,870.66,3.89,7.57,0.07,3.65,0.65,0.4,0.91,100.44,21464.9,0.14,588.63,1.23,28.32,1.38,5.3,0.49,5.8,0.14,43.92,0.26,0.52,64.67,,
729530,276.14,9.62,5.61,45.24,42.77,25.26,49.87,185.98,4.17,7.65,0.14,10.1,0.44,0.07,1.58,128.94,350.92,0.2,235.38,1.42,47.28,0.36,2.48,0.78,16.04,0.2,12.04,0.09,0.42,73.21,0.47,
1095748,665.44,28.89,13.3,93.7,82.17,45.61,0.0,534.07,13.68,7.33,,24.75,1.99,0.37,6.13,267.68,80.15,0.77,607.47,4.06,88.76,0.97,11.53,5.31,16.71,0.46,126.86,0.43,2.38,384.64,,0.36
639594,197.5,8.96,2.61,14.43,13.66,0.16,178.81,497.87,13.78,,0.59,20.64,1.16,0.2,2.26,194.31,237.6,0.29,196.11,1.22,32.37,0.95,0.77,0.52,,0.28,16.12,0.08,0.12,41.78,1.68,
1444543,541.24,23.14,11.52,65.25,59.35,39.36,285.2,462.86,18.87,1.94,1.02,46.44,2.55,0.31,3.21,332.59,896.82,1.12,486.57,2.73,69.45,1.85,5.9,1.77,18.54,0.32,75.6,0.31,2.26,253.76,2.72,
653371,345.41,18.28,13.76,36.28,33.86,31.74,172.11,119.2,8.74,,0.63,16.65,1.11,0.12,0.35,173.06,352.55,0.32,258.81,2.53,29.2,0.94,2.43,2.4,1.4,0.07,33.37,0.22,0.47,109.04,1.31,
632570,304.41,15.03,9.0,39.22,36.52,14.29,66.08,93.91,4.9,1.25,0.1,16.57,0.67,0.1,1.72,203.07,547.0,0.16,286.32,1.6,39.77,0.33,2.7,0.62,2.11,0.21,28.79,0.1,0.76,99.78,0.37,0.38
636588,433.83,11.48,3.77,65.51,62.11,9.62,184.81,495.34,15.69,5.53,0.48,44.99,1.5,0.18,5.87,207.69,3265.26,0.8,314.91,4.27,142.5,0.99,3.4,1.07,1.7,0.55,38.5,0.23,0.95,170.09,1.33,0.34
655239,534.43,23.1,5.6,66.99,59.04,24.83,163.68,501.78,21.03,26.69,0.39,32.75,2.39,0.79,8.63,322.9,424.58,0.49,889.78,3.78,127.34,1.95,7.95,3.62,3.87,0.38,119.85,0.4,1.56,129.38,0.88,
1697823,641.14,51.59,16.5,30.53,27.55,12.16,160.57,698.71,16.31,1.21,0.6,20.13,1.82,0.24,2.44,207.9,568.55,0.23,284.26,7.22,19.29,1.02,2.99,0.83,1.95,0.27,32.61,0.24,0.7,69.8,0.98,
640194,443.04,31.79,4.26,18.83,12.53,4.85,0.0,1765.18,24.58,9.36,,6.92,0.89,0.26,2.72,107.48,754.96,0.32,481.47,6.18,56.89,1.03,6.3,4.29,54.83,0.17,31.76,0.37,0.74,355.83,,
