id,title,readyInMinutes,servings,image,cuisines,dish,ingredients,grocery,instructions
642929,Fish Congee,160,4,https://spoonacular.com/recipeImages/642929-312x231.jpg,[],1,"{'cod filet': '0.38 pounds', 'ginger': '0.25 piece', 'oyster sauce': '0.5 tablespoons', 'rice': '0.38 cups', 'rice wine': '0.25 tablespoon', 'salt': '0.25 pinch', 'sesame oil': '0.25 tablespoon', 'shallot': '1.0 servings', 'soya sauce': '0.25 tablespoon', 'spring onions': '1.0 servings', 'water': '0.5 liters', 'white pepper': '0.13 teaspoon'}","['cod filet', 'ginger', 'oyster sauce', 'rice', 'rice wine', 'salt', 'sesame oil', 'shallot', 'soya sauce', 'spring onions', 'water', 'white pepper']","In a big pot (a cocotte if you have one), put in the rice and water. Bring it to a boil.When it comes to a boiling point, give it a good stir. Put in some salt and the sliced ginger. Then, put the lid on. Turn the heat to low.Check and stir from time to time. It takes probably 20-30 minutes for the grains to start breaking. If you use Jasmine rice, it will be quicker. Long grain rice like basmati takes slightly longer.Let it cook for about 1.5-2 hours. Remember to stir and check the consistency. If it becomes too thick, add some water. I usually tend not not make it too runny. The consistency that I always look for is like something like the consistency of pancake batter.Once it has been cooked under low heat for about 2 hours with desired consistency achieved, stir in the cod/haddock fillet that has been cut into cubes.Put the lid back on to let the fish cooked for about 15 minutes.Serve congee in bowls, sprinkles with some spring onions, fried gingers and onions. You can adjust the seasoning by adding soya sauce if you wish (I always like this).Drizzle some sesame oil and a few dash of white pepper (to give a real kick to this dish!)"
4273,Fish Hunan Style,62,8,https://spoonacular.com/recipeImages/4273-312x231.jpg,[],1,"{'apple cider vinegar': '0.38 Tbsps', 'brown sugar': '0.38 Tbsps', 'cod fish filets': '0.19 lbs', 'chicken broth': '0.13 cup', 'cornstarch': '0.13 Tbsp', 'crushed red pepper': '0.13 Tbsp', 'eggs': '0.13 ', 'fresh ginger': '0.13 Tbsp', 'garlic': '0.13 Tbsp', 'green onion': '0.25 Tbsps', 'soy sauce': '0.38 Tbsps'}","['apple cider vinegar', 'brown sugar', 'cod fish filets', 'chicken broth', 'cornstarch', 'crushed red pepper', 'eggs', 'fresh ginger', 'garlic', 'green onion', 'soy sauce']","Make marinade out of soy sauce, sherry (or vinegar), ginger, garlic and green onion.Cut fish into about 2 inch pieces and marinate for 30-40 minutes.Remove fish from marinade and save marinade for later sauce.Dip fish in beaten egg, then in floured bread crumbs. Fry in about an inch of shortening until nicely browned. Set aside while you make sauce.SAUCE: To the reserved marinade add red pepper, broth and brown sugar. Bring to a boil.Add the cornstarch mixed with water. Bring to a boil once more.Serve sauce hot over fish with noodles or rice."
642927,Fish Crocchette Appetizer,45,8,https://spoonacular.com/recipeImages/642927-312x231.jpg,[],1,"{'bread crumbs': '1.0 servings', 'canola oil': '1.0 servings', 'cod fillet': '62.5 grams', 'eggs': '0.25 ', 'flour': '12.5 grams', 'garlic': '0.13 clove', 'lemon rind': '0.06 ', 'milk': '0.13 cup', 'parmesan cheese': '6.25 grams', 'parsley': '0.13 bunch', 'potatoes': '50.0 grams', 'salt': '1.0 servings', 'tuna in olive oil': '18.75 grams'}","['bread crumbs', 'canola oil', 'cod fillet', 'eggs', 'flour', 'garlic', 'lemon rind', 'milk', 'parmesan cheese', 'parsley', 'potatoes', 'salt', 'tuna in olive oil']","Begin to cook the fish and potatoes.Cook cod in a saucepan.Boil the potatoes in their skins in a pot with the water or in the microwave in a container with two inches of water (for the cooking time in the microwave, read the instruction booklet)Let cool cod, eliminated any remaining bones. In a bowl add the mashed potatoes, the minced cod, the garlic cooked in the milk, tuna, drained, Parmesan, chopped parsley, salt , egg and the half lemon zest grated.Mix well the mixture , form into balls to the same size if possible.Coat in white flour, dip in beaten egg and into bread crumbs, fry in canola oil (325 degrees F) until golden , dry on paper towels."
642941,Fish Fillet In Creamy Coconut Curry,30,4,https://spoonacular.com/recipeImages/642941-312x231.jpg,"['Indian', 'Asian']",1,"{'canned tomatoes': '3.63 oz', 'coconut milk': '0.25 cup', 'coriander powder': '0.13 teaspoon', 'cumin': '0.5 teaspoons', 'curry leaves': '0.5 sprigs', 'dried chillies': '1.25 ', 'elk fillet': '0.25 pound', 'garlic': '0.5 cloves', 'ginger': '0.5 ', 'green chilies': '1.25 ', 'kabocha squash': '0.19 cup', 'oil': '0.5 tablespoons', 'onion': '0.13 ', 'parsley': '0.25 tablespoon', 'tamarind paste': '0.25 tablespoon', 'tumeric powder': '0.13 teaspoon'}","['canned tomatoes', 'coconut milk', 'coriander powder', 'cumin', 'curry leaves', 'dried chillies', 'elk fillet', 'garlic', 'ginger', 'green chilies', 'kabocha squash', 'oil', 'onion', 'parsley', 'tamarind paste', 'tumeric powder']","Heat oven and bake squash at 400 degees F.Remove when it is slightly golden brown, or test with skewer for doneness.Remove and let cool, then remove skin and cut in chunks. Set aside.Blend the spices into a smooth paste.Cut the fillets in chunky pieces, season with a little salt and pepper, cover with plastic wrap and refrigerate.Heat oil in a deep pan, stir fry onion till softAdd in the curry leaves, curry paste and 1/2 tsp. coriander, adding a little more oil if necessary. Fry on medium heat till fragrant and oil separates from the paste.Add the squash and tomatoes and stir for another 10 minutes.Remove curry leaves, add the tamarind juice a little at a time, according to your taste. Blend mixture till smooth, then pour mixture back into the pan.Reheat on medium heat and add in coconut milk at little at a time and mixing it as you add the milk.Add slightly more coconut milk if you like more sauce.Bring coconut milk to a boil, add fish to the mixture. Cover and simmer over meduim heat for 5-6 minutes. Gently turn fish over to cook through. Season to taste.Sprinkle with parsley or cilantro, and serve with cooked basmati rice."
642977,Fish Pie With Fresh and Smoked Salmon,45,2,https://spoonacular.com/recipeImages/642977-312x231.jpg,[],1,"{'bay leaf': '0.5 ', 'black peppercorns': '0.25 teaspoon', 'butter': '0.5 tablespoon', 'chicken stock': '0.5 cup', 'cornstarch': '1.0 teaspoons', 'dried chives': '0.5 teaspoon', 'dried tarragon': '0.5 teaspoon', 'greek olives': '0.25 cup', 'horseradish': '0.5 tablespoon', 'lemon juice': '0.5 teaspoon', 'milk': '1.5 tablespoons', 'olive oil': '0.5 tablespoon', 'onion': '0.5 ', 'potatoes': '1.0 medium', 'salmon': '4.0 ounces', 'savoy cabbage': '4.0 ounces', 'white wine': '0.25 cup'}","['bay leaf', 'black peppercorns', 'butter', 'chicken stock', 'cornstarch', 'dried chives', 'dried tarragon', 'greek olives', 'horseradish', 'lemon juice', 'milk', 'olive oil', 'onion', 'potatoes', 'salmon', 'savoy cabbage', 'white wine']","Peel potatoes and cut into chunksCook in boiling, salted water until tender, app. 15 minutesDrain potatoes, add butter, horseradish and 2 tbs milk to potatoes, mash, adding a bit more milk if neededPut fresh salmon in a medium skillet, add water to almost cover, lemon juice, bay leaf and peppercorns.  Cover and poach until done, 12 - 15 minutes. It should be opaque and flake easily with a fork.Remove salmon and cut into large chunksRoughly chop the smoked salmonSaut onion in oil until tenderAdd cabbage and saut, stirring 2 - 3 minutes.Add white wine, chicken stock, herbs, cover and simmer 10 minutesDissolve cornstarch in water and add to cabbage, stirring until thickenedRemove from heat and add yogurt and stir well to combine.Add both salmons to cabbage and stir gently.Spoon into a baking dishTop with potatoesBake, 400F (200C) for 15 minutes or until the top starts to brown."
631894,A Fish That's Not Really A Fish,45,6,https://spoonacular.com/recipeImages/631894-312x231.jpg,[],1,"{'bay leaf': '0.17 ', 'black olives': '0.33 tablespoons', 'butter': '0.17 knob', 'capers': '0.17 tablespoon', 'cod': '33.33 grams', 'egg yolk': '0.17 ', 'flour': '0.33 cups', 'milk': '0.17 cup', 'parsley': '0.33 tablespoons', 'potatoes': '66.67 grams', 'puff pastry': '0.33 sheets', 'salt cod': '33.33 grams', 'shallots': '0.5 '}","['bay leaf', 'black olives', 'butter', 'capers', 'cod', 'egg yolk', 'flour', 'milk', 'parsley', 'potatoes', 'puff pastry', 'salt cod', 'shallots']","Simmer the fish and potatoes in salted water, with the bay leaf and cloves. Chop the capers and olives. With a slotted spoon, remove the fish when still slightly undercooked, definitely before it begins to fall apart!Transfer to a bowl, remove skin and bones and flake into large pieces. When soft, drain and mash the potatoes, then add to the fish together with the olives, capers and parsley.Meanwhile, slice the shallots and simmer them in the milk.Drain, adding the shallots to the mixture and reserving the liquid. Use the latter to make 3-4 tablespoons of bechamel sauce, which you will also incorporate into the fish mixture.Mix gently to avoid breaking up the fish and check for salt.Allow to cool.Roll out a sheet of puff pastry on a baking sheet.Place the mixture in the center in an oval shape (the body of your 'fish'). Cover with another sheet of pastry and press the edges to seal (brush them with a bit of water so that they stick better). Refrigerate for 20 minutes.Remove from the fridge, cut the pastry in the shape of your fish, after which brush the surface with the egg yolk beaten with a little milk.With the tip of a knife draw the fish scales, the eye and any other detail, according to your imagination. The nicks are to be superficial and not go through the pastry.Bake in a preheated oven at 200C for about 25 minutes or until the fish is nicely colored.P.s. if you wish, and have even more time and patience, you can make lots of individual small fishes, perhaps in different shapes."
648974,Kk's Fish Tacos,45,10,https://spoonacular.com/recipeImages/648974-312x231.jpg,['Mexican'],1,"{'tilapia': '1.2 fillet', 'flour tortillas': '2.0 small', 'cilantro': '0.1 cup', 'limes': '0.4 ', 'iceberg lettuce': '0.05 head', 'tomatoes': '0.4 ', 'onion': '0.1 medium', 'bread crumbs': '0.2 cups', 'creole seasoning': '0.1 serving'}","['tilapia', 'flour tortillas', 'cilantro', 'limes', 'iceberg lettuce', 'tomatoes', 'onion', 'bread crumbs', 'creole seasoning']","In pie pan/deep dish add your Italian bread crumbs.In large enough pan to fit at least two fillets at a time, add about 1 cup of oil and bring up to a sizzling temp. (after frying about half the fish, you may need to add more oil to the pan)If frozen thaw your tilapia in lukewarm water, drain well.Once oil is ready, take one of the fillets, thoroughly coat both sides with the bread crumbs.Place in the oil and cook til each side is brown (~2-3 minutes/side).Place on sheets of paper towel to drain away more of the oil.Lightly season the top side of fish with you salt or creole seasoning.While frying up the rest of your fillets, chop up all of your accouterments.When everything is ready, microwave your tortillas for about 30 seconds on high, completely covered in paper towel or a clean dishtowel.Make a taco building buffet: add your fish, a little queso, your veggies, a pinch of cilantro, and then salsa and/or guac. Use the lime wedges to give your taco a little extra kick of citrus!"
663108,Thai Fish Cakes,45,2,https://spoonacular.com/recipeImages/663108-312x231.jpg,"['Thai', 'Asian']",1,"{'corn flour': '1.0 tbsp', 'egg': '0.5 ', 'fish sauce': '0.75 tablespoons', 'fresh coriander leaves': '0.13 cup', 'green beans': '100.0 g', 'oil': '1.0 servings', 'red chilli': '0.5 ', 'red curry paste': '1.0 tbsp', 'salt': '1.0 servings', 'spring onion': '1.0 ', 'white fish fillets': '150.0 g'}","['corn flour', 'egg', 'fish sauce', 'fresh coriander leaves', 'green beans', 'oil', 'red chilli', 'red curry paste', 'salt', 'spring onion', 'white fish fillets']","Add fish fillets, egg, fish sauce, corn flour, red curry paste, red chillies and coriander leaves in blender. Blend it until combined and turns in to the thick paste.Transfer the paste in to a bowlNow add spring onion and green beans in to the paste .Mix well. Form the paste in to round patties using wet palms. Keep them asideContinue Reading Thai Fish Cakes Recipes: http://recipes.sandhira.com/thai-fish-cakes.html"
632983,Assam Fish Curry,45,6,https://spoonacular.com/recipeImages/632983-312x231.jpg,"['Indian', 'Asian']",1,"{'fish fillets': '150.0 g', 'red capsicum': '0.17 large', 'red curry paste': '0.5 tablespoons', 'ginger': '0.17 tablespoon', 'garlic': '0.17 tablespoon', 'tamarind paste': '0.17 tablespoon', 'sugar': '0.17 tablespoon', 'oyster sauce': '0.17 tablespoon', 'lemon grass': '0.33 ', 'lime leaves': '1.67 ', 'curry leaves': '1.33 pieces', 'shaoxing wine': '0.5 tablespoons', 'coconut cream': '66.67 ml', 'fresh coriander leaves': '0.17 leaves'}","['fish fillets', 'red capsicum', 'red curry paste', 'ginger', 'garlic', 'tamarind paste', 'sugar', 'oyster sauce', 'lemon grass', 'lime leaves', 'curry leaves', 'shaoxing wine', 'coconut cream', 'fresh coriander leaves']","Buy a nice thick cut of white fish. You can use snapper, dory, kingklip or hake.I like to cut away the belly because its alot thinner in thickness.Cut the steak portion into large chunks. They will shrink when cooked, so dont cut too small a piece.I dont waste the belly parts. I like to roll them up. And then tie the roll of belly fish meat with a single strand of chive, so that it will look as chunky as the rest of the fish meat.Set aside the prepared fish.Prepare the red capsicum. Slice off one end.And then slice off the other end. This will give you a tube. Slide a knife around the inside walls of the red capsicum.Remove the inner seeds and membrane. Slice the hollow tube of red capsicum into half and then slice into thin strips.Grate or mince some peeled ginger to get approximately 1 tablespoon of ginger.Prepare a handful of spices/herbs  2 stalks of lemon grass, 10 lime leaves and a handful of curry leaves.Add 2 tablespoons of cooking oil to a pan.When the oil is hot, add 3 tablespoons of red curry paste of your choice.I always use the A1 brand from Singapore. Find a good curry paste that works for you where you are, and then stock your larder with it!Stir fry the paste in the hot pan for a minute.Add the ginger.Add the garlic. Stir fry well to combine.Add the lemon grass, lime leaves and curry leaves. Stir well to combine.Add 1 tablespoon of tamarind paste. Stir well to combine and dissolve the tamarind.When the curry paste is nice and fragrant, about 1 to 2 mins later, add 3 tablespoons of Shaoxing Huatiao wine.Add 400ml of coconut cream. Every brand of coconut cream is different. Some are thicker than others. But dont add water at this point. And dont use coconut milk instead of cream or light coconut milk. Its not the same.Add 1 tablespoon of oyster sauce.Add 1 tablespoon of sugar. Stir well to combine and leave to simmer on a low heat. The sauce will get very thick. Dont add water here because when the fish is placed in to cook, it will introduce alot of moisture to the sauce.When the sauce has been simmering gently for 2 to 3 mins, taste the sauce. Adjust the taste here because every brand of oyster sauce/tamarind/wine is different and the sauce needs to be fine tuned accordingly. If its too sour, add a little more sugar. If it tastes flat, add a little wine and oyster sauce. Stir well to combine.When the sauce is ready, gently add the fish into the pan. Keep the stove at medium heat and let the fish cook slowly in the sauce. Try not to handle the fish too much in the sauce as it will cause the fish to flake or break up.As the fish cooks, it will release moisture into the sauce and thin it out. Gently cover the fish with the sauce. Cover the pan and let it simmer till the fish is cooked through. It usually takes about 5 to 8 minutes depending on the thickness of the fish.When the fish is cooked, add the red capsicum strips and gently stir through till they are warmed through but not cooked till soft. If the sauce is too thick at this point, add a couple of tablespoons of water and stir well to combine.Dish out the fish curry gently because the fish may flake or break up.Garnish with coriander leaves."
641123,Curry Fish With Peas,45,1,https://spoonacular.com/recipeImages/641123-312x231.jpg,"['Indian', 'Asian']",1,"{'cooked rice': '1.0 serving', 'cornstarch': '1.0 tablespoon', 'curry powder': '0.5 tablespoon', 'elk fillet': '250.0 grams', 'green peas': '3.0 tablespoons', 'ketchup': '5.0 tablespoons', 'oil': '1.0 serving', 'onion': '1.0 medium', 'rice wine': '0.25 teaspoon', 'salt': '1.0 serving', 'sugar': '0.5 tablespoon', 'water': '5.0 cups', 'white pepper': '1.0 pinch'}","['cooked rice', 'cornstarch', 'curry powder', 'elk fillet', 'green peas', 'ketchup', 'oil', 'onion', 'rice wine', 'salt', 'sugar', 'water', 'white pepper']","Rinse and pat fish dry with paper towels.Cut into the 2-inch chunks and place them in a bowl.Add in the marinade and leave it for 10 minutes.Heat a skillet half-filled with cooking oil. Coat lightly the fish fillet with cornstarch and fry them over the medium heat until light golden.Remove and drain.Heat a little of oil in the same skillet over moderately high heat until hot but not smoking. Stir-fry sliced onion until aromatic, add in peas, return the fish to the skillet, pour in sauce (curry, sugar, ketchup, salt, and water) and gently stir to combine.Cover and cook for 5 minutes. Dish up and serve with the steamed rice."
716369,Lemon Fish with Sweet Potatoes,45,1,https://spoonacular.com/recipeImages/716369-312x231.jpg,[],1,"{'butter': '1.0 tablespoon', 'chili pepper': '1.0 ', 'coconut': '1.0 serving', 'coconut milk': '0.5 cup', 'fish': '2.0 fillet', 'garlic clove': '1.0 ', 'ice cube': '1.0 cube', 'lemon': '0.25 ', 'onion': '0.5 ', 'parsley': '1.0 serving', 'pepper': '1.0 tablespoon', 'sweet potato': '1.0 large', 'vegetable oil': '1.0 teaspoon'}","['butter', 'chili pepper', 'coconut', 'coconut milk', 'fish', 'garlic clove', 'ice cube', 'lemon', 'onion', 'parsley', 'pepper', 'sweet potato', 'vegetable oil']","Wash and place your potatoes in a pot and bring to boil till soft. Peel, slice and set aside.Season your fish with pepper soup spice and set aside.Preheat your butter and vegetable oil and fry your onions and pepper on medium heat for one minute.Add your fish and squeeze your lemon over the fish and sprinkle the seasoning cube and allow to cook on low heat. When brown, flip over so it can brown on the other side.For your sauce, heat up your coconut milk, garlic, seasoning cube and parsley and allow to thicken a bit.Serve the fish and potato with the sauce drizzled over it and garnish with extra chili. "
652080,"Miso, Fish and Rice Stick Soup",45,9,https://spoonacular.com/recipeImages/652080-312x231.jpg,[],1,"{'edamame': '0.11 cup', 'fish stock': '0.22 cups', 'fresh bean sprouts': '0.06 cup', 'fresh cilantro leaves': '0.22 tablespoons', 'lime': '0.11 ', 'monkfish fillet': '0.11 pound', 'noodle': '0.89 ounces', 'nori': '0.06 ounce', 'red miso': '0.03 cup', 'sake': '0.22 tablespoons', 'scallions': '0.22 tablespoons', 'soy sauce': '0.22 teaspoons', 'vegetable broth': '0.67 cups', 'white pepper': '0.03 teaspoon'}","['edamame', 'fish stock', 'fresh bean sprouts', 'fresh cilantro leaves', 'lime', 'monkfish fillet', 'noodle', 'nori', 'red miso', 'sake', 'scallions', 'soy sauce', 'vegetable broth', 'white pepper']","Pour the mushroom or vegetable broth and fish stock into a large pot and bring to a boil.Add the miso, sake, soy sauce, and white pepper. Reduce the heat to a simmer and stir.Pour the rice sticks into a large mixing bowl.Pour in enough very hot water to cover and set aside until they are pliable.Drain. If you are using udon or soba noodles, prepare according to the package directions and drain. Set aside the noodles until you are ready to add them to the soup.Add the edamame to the soup pot and return to a simmer.Add the softened noodles and simmer for 2 minutes longer.Add the monkfish pieces and stir very gently. Cover the pot and cook for 1 minute or until the fish is just barely cooked.Serve hot in individual bowls. Pass the cilantro, scallions, nori, bean sprouts, lime wedges, and sesame oil in a small bowls to share around the table and let each person garnish the soup according to his or her taste."
639658,Claypot Fish,45,3,https://spoonacular.com/recipeImages/639658-312x231.jpg,[],1,"{'baby corn': '2.67 ', 'cabbage': '1.0 servings', 'carrot': '0.08 ', 'corn flour': '0.33 tablespoon', 'cornflour': '0.33 teaspoon', 'garlic': '0.67 cloves', 'ginger': '0.33 ', 'grouper': '150.0 grams', 'oil': '0.67 tablespoons', 'oyster sauce': '0.33 tablespoon', 'rice wine': '0.33 tablespoon', 'salt': '0.33 pinch', 'shiitake mushrooms': '1.33 ', 'tofu': '33.33 grams', 'water': '0.5 cups', 'white pepper': '0.04 teaspoon'}","['baby corn', 'cabbage', 'carrot', 'corn flour', 'cornflour', 'garlic', 'ginger', 'grouper', 'oil', 'oyster sauce', 'rice wine', 'salt', 'shiitake mushrooms', 'tofu', 'water', 'white pepper']","Marinate the fish with a pinch of salt.Cut the tofu into squares. Pan fry the tofu with a little bit of oil until golden brown and crispy. Set aside.Coat the fish with cornflour, pan fry each piece until slightly golden brown. Set aside.Heat up a pan with some oil. Put in garlic and ginger, fry until fragrance and but brown.Pour in Chinese rice wine.Add in carrots, Chinese cabbage, snow peas, baby corn, and Shiitake mushroom. Stir-fry under low heat for about 4 minutes.Add in water and slowly bring to a boil.Add in fish and tofu. Give it a good stir.Add in seasoning then thicken the sauce with cornflour mixture.Heat a claypot in the oven for about 4-5 minutes until hot.Pour in the cook dish into the claypot, serve immediately."
655733,Perfect fish cakes,45,6,https://spoonacular.com/recipeImages/655733-312x231.jpg,[],1,"{'mayonnaise': '20.83 ml', 'capers': '0.17 Tbs', 'horseradish': '0.17 tsp', 'dijon mustard': '0.17 tsp', 'shallot': '0.17 small', 'parsley': '0.17 tsp', 'cod fillets': '75.0 g', 'bay leaves': '0.33 ', 'milk': '25.0 ml', 'water': '25.0 ml', 'potatoes': '58.33 g', 'salt': '0.17 pinch', 'lemon zest': '0.08 tsp', 'fresh parsley': '0.17 Tbs', 'chives': '0.17 Tbs', 'pepper': '0.04 tsp', 'flour': '0.17 serving', 'egg': '0.17 ', 'breadcrumbs': '14.17 g', 'sunflower oil': '0.5 Tbs', 'lemon wedges': '0.17 serving'}","['mayonnaise', 'capers', 'horseradish', 'dijon mustard', 'shallot', 'parsley', 'cod fillets', 'bay leaves', 'milk', 'water', 'potatoes', 'salt', 'lemon zest', 'fresh parsley', 'chives', 'pepper', 'flour', 'egg', 'breadcrumbs', 'sunflower oil', 'lemon wedges']","Mix all the sauce ingredients together. Set aside.Lay the fish and bay leaves in a frying pan.Pour over the milk and water. Cover, bring to a boil, then lower the heat and simmer for 4 minutes. Take off the heat and let stand, covered, for 10 minutes to gently finish cooking the fish. Lift the fish out of the milk with a slotted spoon and put on a plate to cool.Meanwhile, cook the potatoes in the salted water for 10 minutes or until tender, but not broken up.Drain the potatoes and leave them for a minute or two.Tip them back into the hot pan on the lowest heat and let them dry out for 1 minute, mashing them with a fork and stirring so they don't stick. You should have a light, dry fluffy mash. Take off the heat and beat in 1 tablespoon of the sauce, then the lemon zest, parsley, pepper and chives. Set aside.Drain off liquid from the fish, then flake it into big chunks into the pan of potatoes. Using your hands, gently lift the fish and potatoes together so they just mix. Do it with only a couple of turns, or the fish will break up too much. Put to aside and cool.Beat the egg on a large plate and lightly flour a board.Spread the breadcrumbs on another plate. On the floured board, and with floured hands, carefully shape into 4-6 cakes, about 2.5 cm thick. One by one, put each cake in the egg, and brush over the top and sides so it is completely coated.Transfer each cake to the plate with bread crumbs, pat the crumbs on the sides and tops so they are lightly covered.Transfer to a plate, cover and chill for 30 minutes (or up to a day ahead).Fry the fish cakes in hot oil over a medium heat for about 5 minutes on each side or until crisp and golden.Serve with the rest of the sauce (squeeze in a little lemon zest to taste) and lemon wedges for squeezing over."
