recipe_id,Carbohydrates g,Calories kcal,Fat g,Protein g
715769,71.66,625.07,30.69,19.86
648257,49.5,221.45,0.82,15.21
1095745,76.92,468.07,9.76,21.49
658753,67.36,466.44,16.31,13.7
658515,16.15,232.48,18.01,5.82
648275,13.3,290.01,13.97,28.8
1095740,49.95,440.15,23.92,11.71
1095751,61.47,296.04,1.12,8.92
648190,103.41,648.72,14.93,27.53
656972,61.11,395.1,10.19,17.06
658743,89.73,739.42,30.22,34.36
644885,29.46,132.62,0.37,3.54
647563,48.73,494.68,25.74,22.46
658615,43.53,397.1,17.2,17.99
655400,49.19,463.38,25.35,12.8
656544,43.62,458.59,24.96,20.06
644830,87.69,515.58,13.73,10.29
649850,76.65,794.02,55.01,21.78
637811,83.59,580.32,21.49,11.61
1096168,59.89,331.43,5.2,8.83
640064,67.07,526.27,19.18,21.59
656329,13.37,308.7,22.4,15.53
644205,41.17,349.42,17.4,10.27
1095746,51.67,368.49,14.77,9.16
648118,13.04,180.85,14.66,2.32
641962,19.51,349.0,25.03,17.33
663771,46.36,353.09,15.02,9.83
645020,43.81,328.49,14.61,6.13
654573,41.0,365.53,19.28,8.5
639794,64.11,496.47,25.3,6.54
649147,40.9,364.64,19.26,8.39
658782,24.67,140.96,2.98,3.44
1095817,12.12,204.4,16.17,5.58
632094,82.29,555.4,21.5,12.45
652687,61.4,418.41,12.99,7.15
1005368,25.8,479.16,38.76,8.57
646660,31.24,505.05,38.92,8.34
645187,19.17,162.75,8.32,2.87
663749,14.73,100.66,3.65,2.77
661757,67.11,249.3,0.22,0.5
648715,15.06,205.07,15.0,3.2
640123,74.67,560.52,25.47,9.22
1061943,61.44,480.66,24.0,5.78
633078,8.24,54.35,1.95,1.37
642777,46.91,501.12,27.87,13.99
664470,4.75,132.49,11.91,1.82
637513,7.58,71.53,3.61,2.39
635375,34.85,163.05,1.37,2.83
651758,19.97,100.88,1.31,2.22
1096288,3.4,87.23,6.03,5.25
640395,14.72,106.21,4.87,1.87
1095809,1.09,129.86,13.94,0.03
648119,8.58,70.6,3.75,0.98
1697783,66.71,547.73,21.59,21.91
1095832,28.58,198.65,7.42,4.26
715769,71.66,625.07,30.69,19.86
715495,29.71,219.22,7.56,10.2
715573,68.7,810.53,45.86,33.67
659109,45.08,439.42,18.74,25.67
648279,70.22,460.35,2.93,38.29
648257,49.5,221.45,0.82,15.21
648247,45.85,463.05,7.99,59.7
640819,61.69,472.27,16.57,21.45
1095745,76.92,468.07,9.76,21.49
658753,67.36,466.44,16.31,13.7
664737,57.6,507.53,21.7,24.94
716300,86.65,659.16,23.26,26.82
664565,72.44,379.87,3.91,16.75
658515,16.15,232.48,18.01,5.82
1095742,68.35,332.88,1.15,15.87
715538,69.02,521.13,10.27,35.12
642095,45.59,359.74,11.46,23.22
648275,13.3,290.01,13.97,28.8
632935,87.22,474.34,5.94,13.4
648176,21.01,750.54,52.9,44.93
643471,105.83,685.18,24.12,19.09
638088,101.96,696.42,9.5,44.07
648259,67.17,590.97,31.07,15.13
646549,93.41,527.86,6.9,22.34
1095740,49.95,440.15,23.92,11.71
1095751,61.47,296.04,1.12,8.92
647124,70.36,709.68,41.02,15.85
648190,103.41,648.72,14.93,27.53
656972,61.11,395.1,10.19,17.06
658743,89.73,739.42,30.22,34.36
644885,29.46,132.62,0.37,3.54
657312,74.74,408.53,7.21,13.48
647563,48.73,494.68,25.74,22.46
1096088,60.4,648.85,24.38,49.76
658615,43.53,397.1,17.2,17.99
641893,44.9,704.74,41.26,39.39
656571,48.38,623.06,26.77,45.94
663136,104.96,907.47,35.08,45.65
1697699,61.67,1261.39,98.84,38.27
655400,49.19,463.38,25.35,12.8
648155,25.4,261.3,5.22,31.04
654125,7.1,406.49,17.79,45.08
1046983,21.38,523.55,26.2,53.67
640314,44.11,636.98,30.46,46.33
649270,24.47,519.17,33.3,34.25
651922,62.59,400.99,11.35,15.74
157991,34.34,383.51,20.35,18.13
658632,68.27,413.72,9.12,17.51
638236,43.54,431.38,15.7,29.05
642297,50.26,528.74,28.54,20.73
663366,70.08,477.55,13.16,19.36
634891,43.87,635.43,25.98,53.33
660292,28.6,148.94,1.7,6.7
655847,92.66,825.97,36.57,32.47
656544,43.62,458.59,24.96,20.06
633661,97.36,1249.21,66.96,67.5
652856,30.08,354.98,21.52,11.68
1095810,36.9,608.15,40.19,34.42
648048,41.52,620.06,30.96,40.51
660215,77.13,896.18,46.23,44.95
636610,58.34,643.78,27.93,38.59
644830,87.69,515.58,13.73,10.29
650397,115.75,855.39,22.91,47.42
633884,100.96,867.46,31.23,45.77
649850,76.65,794.02,55.01,21.78
638235,81.13,610.44,10.38,45.89
649292,63.66,596.64,25.31,28.7
637811,83.59,580.32,21.49,11.61
657249,19.09,163.51,6.65,9.33
642325,38.12,359.36,18.42,14.63
662346,76.53,702.9,32.13,27.7
663227,49.77,391.67,14.7,15.65
654928,72.52,885.04,48.75,32.33
631824,29.41,304.0,15.84,16.43
643175,51.23,313.25,8.2,8.28
157375,107.09,959.68,41.41,29.0
648238,32.54,384.68,19.9,20.67
715560,46.75,422.31,15.8,22.07
650119,92.36,673.71,19.27,30.36
654935,99.18,575.63,11.67,19.27
651646,73.12,601.36,23.11,29.17
