recipe_id,all purpose flour,canned tomatoes,cup cake,dry red wine,egg,eggplant,fat-free milk,fat free mozzarella cheese,fresh parsley,garlic,ground lamb,bbq sauce,meat,olive oil,onion,oregano leaves,salt,salt and pepper,tomato paste,zucchini,chillies,curry powder,ginger,juice of lemon,lamb chops,oil,black pepper,carrot,cinnamon,green peas,lamb,lamb stock,mushroom,oregano,parsley,cayenne,coriander,cumin seeds,duck fat,garam masala,lemon juice,onions,tomatoes,yoghurt,bacon,breadcrumbs,iceberg lettuce,sub rolls,bell pepper,carrots,cloves,cornstarch,fresh basil leaves,fresh rosemary leaves,fresh shiitake mushrooms,garlic cloves,lamb shoulder,mushrooms,pancetta,peas,potatoes,chipotle peppers,peppers,plum tomatoes,sesame seeds,pepper,canola oil,chocolate,tomato sauce,butter,ground pepper,water,bay leaf,caraway seeds,celery stalks,demi glace,flour,fresh rosemary,fresh thyme,ice water,kosher salt,lemon zest,milk,orange zest,pie crust,red onion,red wine,shortening,sugar,sweet potatoes,baby corn,bean sprouts,elk fillet,ginger root,horseradish,macadamia nuts,mustard,red bell pepper,rice noodles,soy sauce,spring onions,sunflower oil,coconut milk,ice cubes,root vegetables,tomato,yellow bell pepper,cucumber,extra virgin olive oil,flat leaf parsley,fresh dill,greek yogurt,hamburger buns,goat cheese,baby spinach,cooking oil,Salt & Pepper,cumin,fresh cilantro,green chiles,ground coriander,red chili powder,turmeric powder,fresh mint,ground turkey,low fat greek yogurt,pitas,vegetable oil,turmeric,cream,lean ground lamb,tart shells,mint leaves,pineapple juice,vinegar,rack of lamb,peanut oil,dijon mustard,white bread,garlic clove,shallot,herbes de provence,unsalted butter,cilantro,lamb loin chops,lemon,mint,pinenuts,red pepper flakes,baking potatoes,beef broth,curry paste,fennel powder,lamb stew meat,plain yogurt,rosemary,eggplants,eggs,lowfat yogurt,parmesan cheese,white button mushrooms,beets,red wine vinegar,thyme sprigs,beer,brown sugar,cinnamon stick,five spice powder,lamb shanks,lime juice,rice wine,star anise,tamarind concentrate,leg of lamb,nutmeg,paprika,tumeric,balsamic vinegar,herbs,baby carrots,fresh peas,seasoning,coriander seeds,peppercorns,beef stock,cream cheese,egg yolk,fresh parsley leaves,sweet paprika,worcestershire,avocado oil,honey,leek,thyme,bacon strips,lambs lettuce,orange juice,radishes,wholegrain mustard,moong dal,shallots,ghee butter,chilies,curry leaves,ground cumin,ground fenugreek,pita breads,bulgur wheat,pine nuts,ground allspice,juniper berries,wine,sausage links,bacon drippings,pork,pork shoulder,sauerkraut,apples,whole cloves,lamb loin,sausage,bread crumbs,chicken broth,duck legs,lamb cubes,salt pork,white beans,fish sauce,sesame seed oil,mayo,pickled daikon,pate brisee,jalapeno,celery,white wine,cardamon pods,cilantro leaves,coriander powder,cumin powder,red skin potatoes,bay leaves,red chilies,black peppercorns,black cardamoms,belacan,galangal,fresh coriander leaves,lemongrass,lime rind,asafetida,cayenne pepper,dried ginger,fennel seeds,lamb mince,tomato puree,worcestershire sauce,plain flour,rhubarb
649225,0.04 cup,0.08 can,0.08 cup,0.04 cup,0.33 ,0.21 pounds,0.33 cups,0.25 cups,0.04 cup,0.17 ,0.17 pounds,1.0 servings,1.0 servings,0.02 cup,0.17 medium,0.08 tablespoon,0.08 teaspoon,0.08 ,0.08 can,0.25 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
649196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0 servings,0,0,0,0.4 ,0.2 tablespoons,0.1 inch,0.1 ,0.4 ,1.0 servings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
649248,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0 tablespoons,0.25 small,0,1.0 servings,0,0,0,0,0,0,1.0 ,0,0,0.13 teaspoon,1.0 ,0.13 teaspoon,0.13 pound,0.5 pounds,1.0 cups,0.25 cup,0.13 teaspoon,0.75 teaspoons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
649199,0,0,0,0,0,0,0,0,0,2.0 Cloves,0,0,0,0,0,0,1.0 serving,0,0,0,0,0,3.0 ,0,8.0 rib,0,0,0,0,0,0,0,0,0,0,1.0 tablespoon,1.0 serving,1.0 teaspoon,1.0 serving,1.0 teaspoon,3.0 tablespoons,2.0 medium,1.0 serving,12.0 ounces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
649182,0,0,0,0,0.17 ,0,0,0,0,0,0.08 ,0,0,0,0.17 small,0,0,1.0 servings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33 teaspoons,0,0,0,0,0,0,0,0,1.0 servings,0,0.5 strips,0.33 ounces,1.0 servings,1.0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
649186,0,0,0,0.17 cup,0,0,0,0,0,0,0,0,0,0,0,0,0.08 teaspoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13 pound,0,0,0,0,0,0,1.0 servings,0.17 cup,0.83 ,0.17 tablespoon,0.5 tablespoons,0.17 tablespoon,0.08 pound,0.67 ,0.33 pounds,0.08 pound,0.33 ounces,1.67 oz,1.0 servings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
649214,0,0,0,0,0,0,0,0,0,0.75 cloves,0,0,0,0,0,0,0.13 teaspoon,0.25 serving,0,0,0,0,0,0,0,0,0,0,0.25 teaspoon,0,0,0,0,0.25 teaspoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25 ,0,0,0,0,0.5 ,0.5 ,2.0 ,0.25 tablespoon,0.13 teaspoon,0.75 tablespoons,0.38 ounces,2.0 ounces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0 servings,0,0,0,0,0,0,0,0,0,0,0,0,0,175.0 g,0,0,0,0,0,0,0,0,0,0,56.25 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.0 g,0,0,0,0,0,0,0,0,6.25 g,1.0 servings,68.75 ml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
649178,0,0,0,0,0,0,0,0,0,0.5 cloves,0,0,0,1.0 servings,0,0,0.13 teaspoon,0,0,0,0,0,0,0,0,0,0.06 tablespoon,0,0,0,0.13 pound,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13 tablespoon,0,0,0,0,0,0,0,0.13 cup,0,0,0,0,0,0,0,0,0,0.09 cup,0,0.06 cup,0.13 ,0.06 teaspoon,0.25 ,0.38 ounces,0.38 tablespoons,0.25 teaspoons,0.19 teaspoons,1.0 tablespoons,0.13 tablespoon,0.13 ,0.19 tablespoons,0.13 ,1.0 servings,0.06 large,0.13 cup,0.06 cup,0.13 tablespoon,0.25 large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
649187,0,0,0,0,0,0,0,0,0,0.5 ,0,1.0 tablespoons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75 tablespoons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.25 grams,50.0 grams,112.5 grams,12.5 ,0.5 teaspoons,12.5 grams,0.5 teaspoons,0.25 ,31.25 grams,0.25 ,2.0 ,0.75 tablespoons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
