recipe_id,Calories kcal,Fat g,Saturated Fat g,Carbohydrates g,Net Carbohydrates g,Sugar g,Cholesterol mg,Sodium mg,Protein g,Manganese mg,Vitamin C mg,Magnesium mg,Phosphorus mg,Copper mg,Folate µg,Vitamin A IU,Fiber g,Vitamin B6 mg,Iron mg,Vitamin B1 mg,Zinc mg,Vitamin E mg,Vitamin B2 mg,Potassium mg,Calcium mg,Selenium µg,Vitamin B5 mg,Vitamin B3 mg,Vitamin K µg,Vitamin D µg,Vitamin B12 µg,Alcohol g,Caffeine mg
715769,625.07,30.69,3.32,71.66,62.1,6.45,0.0,971.81,19.86,2.77,81.79,216.62,500.43,0.97,191.83,2019.06,9.56,0.63,5.58,0.42,3.6,3.29,0.33,668.06,139.72,9.03,0.88,1.67,5.16,,,,
648257,221.45,0.82,0.19,49.5,24.38,4.55,0.0,427.46,15.21,1.29,54.16,278.35,416.48,1.07,310.98,76.53,25.12,0.57,6.47,0.33,2.32,0.99,0.31,1712.06,224.86,1.49,1.56,4.82,76.29,,,,
1095745,450.17,10.35,1.57,72.38,63.95,8.03,0.0,997.99,20.54,1.54,9.75,86.25,324.85,0.76,201.32,1476.83,8.43,0.75,6.45,0.91,2.6,1.18,0.94,758.29,114.77,42.77,2.35,9.5,75.67,0.23,,,
658753,445.72,16.9,2.54,62.82,57.54,12.19,0.0,807.22,12.75,0.79,112.67,56.42,157.26,0.25,176.59,3423.19,5.28,0.43,4.75,0.8,1.46,4.08,0.52,581.54,75.51,28.79,0.69,6.3,27.7,,,,
658515,232.48,18.01,2.52,16.15,9.67,4.35,0.0,237.71,5.82,0.59,144.82,39.79,119.27,0.12,103.78,1282.6,6.48,0.38,2.52,0.24,0.73,4.02,0.15,669.38,74.17,2.83,0.53,1.27,311.62,,,,
648275,286.28,13.97,1.94,13.3,8.71,8.44,15.31,836.37,28.8,0.25,111.17,51.97,607.06,0.12,61.4,3769.66,4.59,0.38,1.16,0.1,3.74,3.91,0.34,531.79,842.69,16.16,0.34,1.53,29.88,,0.78,,
1095740,442.11,23.98,3.09,50.52,38.76,27.13,0.0,457.73,11.53,1.52,88.91,118.35,257.91,0.55,272.01,873.81,11.75,0.56,3.58,0.5,1.91,5.63,0.22,1074.46,155.05,14.28,0.97,3.11,92.83,,,,
1095751,296.04,1.12,0.25,61.45,53.84,11.64,0.0,971.9,8.92,1.11,90.39,65.19,187.42,0.33,209.95,2696.56,7.6,0.49,3.74,0.51,1.71,1.46,0.21,869.12,64.11,9.63,1.23,4.46,72.21,,,1.55,
648190,648.72,14.93,5.5,103.42,95.38,14.39,26.0,538.21,27.52,1.72,18.06,141.3,520.11,0.76,73.59,1064.99,8.05,0.31,5.1,0.27,2.97,1.33,0.33,1348.01,387.02,76.97,1.32,4.59,56.5,,0.28,,
656972,390.41,10.37,5.07,59.63,54.61,4.39,62.56,778.64,16.62,0.76,42.18,70.84,317.65,0.63,122.09,3768.69,5.02,0.81,4.41,0.51,1.64,0.72,0.73,1103.63,200.15,20.78,1.96,6.21,135.55,0.81,0.34,,
658743,735.7,30.49,4.72,89.57,76.13,20.79,14.93,1628.34,34.09,1.49,118.32,112.61,276.35,0.65,113.77,3565.41,13.44,0.76,4.46,0.25,2.12,6.77,0.34,1445.67,245.72,49.51,1.76,5.42,28.16,,,,
644885,132.62,0.37,0.06,29.46,26.21,1.5,0.0,64.08,3.54,0.25,22.57,36.21,86.64,0.17,36.03,,3.25,0.4,1.15,0.12,0.47,,0.04,569.2,81.73,0.72,0.39,1.47,2.5,,,,
647563,493.69,25.72,15.62,48.65,36.76,15.51,72.87,1244.46,22.48,1.36,22.48,140.27,471.94,0.77,143.92,28280.87,11.89,0.75,5.85,0.28,3.52,5.06,0.79,1546.8,618.32,24.49,2.64,4.6,213.35,0.7,0.54,,
658615,390.4,17.36,10.19,43.38,37.17,9.76,66.75,1104.76,17.99,0.87,212.41,78.5,380.53,0.23,177.35,8308.42,6.21,1.0,2.85,0.38,3.27,3.44,0.88,804.51,470.49,12.75,1.52,3.73,158.67,0.3,1.27,,
