recipe_id,Calories kcal,Fat g,Saturated Fat g,Carbohydrates g,Net Carbohydrates g,Sugar g,Cholesterol mg,Sodium mg,Protein g,Vitamin C mg,Vitamin K µg,Manganese mg,Copper mg,Fiber g,Folate µg,Magnesium mg,Vitamin B6 mg,Phosphorus mg,Vitamin B1 mg,Iron mg,Potassium mg,Calcium mg,Vitamin B3 mg,Zinc mg,Vitamin B5 mg,Vitamin A IU,Vitamin B2 mg,Selenium µg,Vitamin E mg,Vitamin B12 µg,Vitamin D µg,Alcohol g
716426,191.51,6.36,1.03,29.11,23.38,3.32,0.0,428.32,6.85,65.87,73.09,1.32,0.48,5.73,89.34,87.61,0.42,188.42,0.25,2.68,490.13,132.76,2.52,1.69,0.96,445.78,0.15,4.49,0.42,,,
715594,556.62,1.02,0.21,122.29,111.17,3.5,0.0,220.8,15.18,84.46,20.73,1.11,0.56,11.12,184.63,113.75,1.29,312.52,0.83,6.33,1870.72,66.02,8.21,1.7,1.54,166.77,0.45,22.5,,,,
715497,440.37,9.87,2.68,68.8,64.76,50.0,11.35,400.72,20.42,64.41,2.0,0.39,0.39,4.04,134.47,67.61,0.84,372.38,0.32,2.53,1109.7,747.77,9.3,3.0,1.47,1057.73,1.02,17.21,6.24,3.75,2.83,
644387,178.97,14.61,1.99,10.27,10.24,3.6,0.0,30.76,3.0,78.47,466.57,0.48,0.99,,20.2,33.81,0.19,66.66,0.07,1.23,352.19,106.84,0.66,0.4,,6493.64,0.09,0.8,2.01,,,
716268,1204.74,88.69,15.17,60.45,37.27,16.88,61.02,340.71,58.93,233.85,39.57,4.69,1.68,23.18,476.04,362.76,1.68,835.22,1.28,8.89,2495.66,257.12,32.39,5.32,4.62,17105.4,0.53,23.72,4.9,0.25,0.16,
716381,354.47,3.71,0.65,70.66,51.86,31.56,40.0,14093.03,23.49,362.22,63.96,1.24,0.99,18.8,198.71,319.59,1.48,496.6,0.46,7.39,2574.6,202.84,7.24,2.85,1.63,10005.88,0.44,24.89,10.71,0.4,,
782601,553.19,7.62,1.19,102.94,85.59,10.54,0.0,1113.62,21.45,45.51,33.58,3.56,0.76,17.35,316.2,213.89,0.87,488.5,0.76,6.9,1563.53,134.71,5.63,3.51,1.97,5050.33,0.29,2.88,1.98,,,
794349,524.36,12.01,1.46,89.0,74.6,9.34,0.0,804.58,18.91,65.76,120.69,3.92,0.8,14.39,345.23,194.98,0.75,453.71,0.61,5.9,1101.3,136.78,4.83,3.65,2.29,769.43,0.31,7.91,3.11,,,
715446,635.57,11.87,4.54,86.25,68.57,5.59,99.88,1269.35,49.53,74.21,150.67,2.0,0.94,17.67,148.57,188.64,2.36,618.34,0.51,14.33,2595.4,417.83,16.84,9.33,2.26,4471.82,0.58,44.49,4.32,3.04,,
715415,448.38,19.94,2.94,48.41,25.31,8.8,24.0,1227.36,23.28,38.93,98.35,0.99,0.54,23.1,329.63,113.81,0.96,381.66,0.56,4.81,1459.4,76.57,7.81,3.39,3.13,5646.49,0.31,16.72,3.59,0.08,,
766453,778.28,30.55,3.74,100.34,71.57,17.05,0.0,918.24,33.75,17.07,56.33,3.97,1.7,28.76,867.81,213.76,0.92,750.15,1.08,13.51,1525.47,233.56,3.99,6.63,2.49,1177.92,0.39,19.67,3.47,,,
716627,445.69,4.09,0.7,86.11,66.75,7.35,0.0,1058.31,19.14,20.47,12.29,1.38,0.82,19.36,156.49,122.85,0.49,344.99,0.46,7.13,1217.8,155.55,4.15,2.21,1.31,1122.25,0.38,11.29,3.2,,,
