recipe_id,Calories kcal,Fat g,Saturated Fat g,Carbohydrates g,Net Carbohydrates g,Sugar g,Cholesterol mg,Sodium mg,Protein g,Selenium µg,Phosphorus mg,Vitamin B2 mg,Vitamin B6 mg,Fiber g,Potassium mg,Magnesium mg,Manganese mg,Calcium mg,Zinc mg,Vitamin B5 mg,Iron mg,Folate µg,Vitamin B12 µg,Copper mg,Vitamin A IU,Vitamin D µg,Vitamin B1 mg,Vitamin B3 mg,Vitamin C mg,Vitamin E mg,Vitamin K µg,Alcohol g,Caffeine mg
511748,340.24,14.5,6.07,37.46,32.74,1.86,295.13,417.41,16.03,29.06,403.41,0.44,0.39,4.72,594.41,67.51,0.31,153.69,2.24,1.48,2.59,55.04,0.76,0.25,585.87,1.55,0.15,1.82,7.31,1.09,3.14,,
636062,346.06,13.01,5.07,52.75,50.14,38.43,130.02,257.32,7.56,16.54,166.68,0.32,0.24,2.61,510.34,77.77,1.31,103.69,1.53,0.89,2.54,24.27,0.28,0.3,382.23,0.61,0.1,0.67,,0.43,1.18,,
636066,37.22,1.2,0.59,5.67,5.5,1.3,2.63,39.67,0.9,2.31,12.62,0.04,,,,,0.04,,,,0.27,10.5,,,,,0.05,0.34,,,,,
636080,123.52,6.33,1.4,17.13,16.53,15.64,3.88,33.97,0.78,,23.05,0.02,0.02,0.6,51.91,9.24,0.29,22.08,0.31,,0.28,,,0.08,,,0.04,,,0.16,,,
636026,1162.48,83.06,38.12,59.56,57.87,14.82,231.47,2454.88,43.3,29.96,740.07,0.71,0.72,1.69,1164.98,78.94,0.61,501.85,5.64,2.6,3.02,35.5,3.05,3.26,1542.44,5.03,0.72,9.22,1.55,1.55,4.25,,
1096243,300.39,4.21,1.05,63.41,60.25,31.25,20.46,312.07,4.63,12.49,67.15,0.24,0.09,3.16,280.25,20.92,0.31,22.11,0.44,0.38,1.86,61.08,,0.14,284.5,,0.26,2.46,,0.41,21.22,,
641185,343.02,13.57,4.86,41.56,39.89,4.59,29.01,568.28,12.92,16.65,156.03,0.3,0.37,1.67,402.19,29.27,0.11,67.33,1.1,0.5,1.29,33.69,0.28,0.17,926.65,,0.22,4.68,39.0,0.6,33.71,,
661984,638.61,44.76,25.22,29.94,26.55,3.18,156.31,630.23,30.72,23.91,403.23,0.42,0.8,3.39,1182.89,68.39,0.38,97.92,5.87,1.55,4.55,54.51,2.63,1.57,510.69,0.57,0.23,7.04,20.79,0.78,11.59,,
658134,368.2,22.39,10.67,26.46,24.98,6.61,222.5,835.03,14.39,31.84,180.62,0.38,0.19,1.48,212.52,18.41,0.21,48.43,1.8,1.33,2.41,72.33,0.99,0.11,724.16,0.88,0.25,2.32,7.74,1.0,1.33,,
716433,127.75,0.82,0.14,32.42,28.79,6.57,0.13,9.57,1.16,0.73,36.92,0.08,0.1,3.63,322.38,15.5,0.12,14.14,,,0.91,5.12,,0.13,,,0.06,0.48,4.51,0.46,1.38,,
663853,229.43,9.44,5.25,31.27,26.73,7.68,0.0,50.64,4.94,3.4,166.99,0.17,0.17,4.54,282.26,73.56,1.29,34.51,1.33,0.14,1.84,53.57,,0.28,,,0.15,0.71,31.98,0.76,1.16,,
1096256,328.61,20.77,13.85,30.99,20.2,14.29,0.0,59.48,7.01,1.18,63.63,0.04,0.05,10.79,115.66,32.18,0.35,11.99,0.58,0.19,1.34,7.43,,0.23,61.77,,0.03,0.69,,,,,
1017374,126.12,7.7,3.0,4.83,4.24,1.58,175.26,365.1,9.23,16.25,149.34,0.27,0.17,0.58,150.35,13.06,0.05,88.93,1.02,0.83,0.96,29.47,0.71,0.05,630.52,1.04,0.05,0.65,14.0,0.66,1.14,,
715497,440.37,9.87,2.68,68.8,64.76,50.0,11.35,400.72,20.42,17.21,372.38,1.02,0.84,4.04,1109.7,67.61,0.39,747.77,3.0,1.47,2.53,134.47,3.75,0.39,1057.73,2.83,0.32,9.3,64.41,6.24,2.0,,
634141,167.82,3.8,0.73,27.79,24.96,10.83,8.33,82.05,8.04,6.37,117.79,0.1,0.11,2.83,260.74,33.83,0.73,102.13,0.64,0.26,1.3,11.44,,0.13,,,0.08,0.41,2.13,,,,
636458,213.0,19.36,6.5,1.08,1.02,0.33,98.83,319.88,8.0,14.62,102.34,0.12,0.15,,115.21,7.77,,15.21,0.77,0.54,0.52,8.99,0.39,0.03,121.82,0.55,0.13,1.79,,0.4,,,
647043,309.58,15.59,2.44,42.98,36.07,21.51,0.0,31.31,6.59,16.97,258.71,0.16,0.31,6.91,292.17,125.31,2.08,31.31,2.48,0.55,4.08,55.1,0.25,0.54,126.03,0.17,0.28,2.44,,1.65,10.89,,
1096058,714.1,49.13,19.58,40.22,31.94,12.2,298.18,2279.1,30.16,24.25,412.73,0.54,1.45,8.27,1150.45,74.07,0.88,152.58,3.96,2.08,4.99,109.81,1.43,0.43,2125.6,2.69,0.72,8.43,301.99,2.9,37.03,,
1095895,208.38,7.87,3.37,28.1,25.5,20.01,174.98,77.62,7.18,14.59,128.33,0.51,0.13,2.6,179.06,23.47,0.98,84.79,0.99,0.78,1.26,30.68,0.45,0.08,364.48,0.94,0.06,0.37,1.18,0.89,7.86,,
636199,269.21,11.28,2.6,31.25,26.53,1.91,186.56,767.81,13.15,30.06,367.36,0.33,0.2,4.71,343.04,123.49,1.81,212.8,2.12,1.29,3.27,58.26,0.51,0.2,598.27,1.12,0.27,0.62,30.61,1.64,38.54,,
640636,639.12,40.16,15.34,50.23,43.97,11.02,330.02,1413.61,22.45,44.39,362.5,0.7,0.53,6.27,862.14,79.84,0.8,297.97,2.46,2.12,6.31,198.83,0.82,0.57,1726.83,1.85,0.5,5.36,23.35,5.94,38.35,,
