id,title,readyInMinutes,servings,image,cuisines,dish,ingredients,grocery,instructions
511748,Breakfast Tacos,45,2,https://spoonacular.com/recipeImages/511748-312x231.jpg,['Mexican'],0,"{'butter': '0.25 Tbsp', 'corn tortillas': '2.0 ', 'eggs': '1.5 large', 'red potato': '0.5 small', 'Salt & Pepper': '1.0 servings', 'shredded cheddar cheese': '1.0 tbsp'}","['butter', 'corn tortillas', 'eggs', 'red potato', 'Salt & Pepper', 'shredded cheddar cheese']","Cook potato in microwave. Slice and cut into thin strips.In a small saut pan heat butter over medium heat.Add potato to pan and lightly brown potato, season with salt and pepper.Add eggs to potato. Stir to scramble and combine.Wrap tortillas in a damp paper towel.Heat in microwave for about 45 seconds.Place equal amounts in each tortilla and top with shredded cheese."
636062,Breakfast Porridge,45,6,https://spoonacular.com/recipeImages/636062-312x231.jpg,[],0,"{'brown sugar': '0.04 cup', 'cinnamon': '0.08 teaspoon', 'dark molasses': '0.04 cup', 'eggs': '0.67 ', 'golden raisins': '0.04 pound', 'ground ginger': '0.08 tablespoon', 'lightly sweetened whipped cream': '1.0 servings', 'maple syrup': '0.5 tablespoons', 'milk': '0.17 tablespoon', 'nutmeg': '0.13 teaspoon', 'oatmeal': '0.33 cups', 'salt': '0.08 teaspoon', 'vanilla yogurt': '1.0 servings', 'walnuts': '0.04 cup', 'water': '0.33 tablespoons'}","['brown sugar', 'cinnamon', 'dark molasses', 'eggs', 'golden raisins', 'ground ginger', 'lightly sweetened whipped cream', 'maple syrup', 'milk', 'nutmeg', 'oatmeal', 'salt', 'vanilla yogurt', 'walnuts', 'water']","Heat water and salt until boiling.Add oatmeal and cook for 5 minutes. Cool.Combine next 10 ingredients and add to oatmeal.Pour into a greased 9-inch square baking pan and bake, uncovered, in preheated 350 degree oven for 2 hours.Serve hot topped with a dollop of whipped cream or vanilla yogurt.This recipe yields 6 servings."
636066,Breakfast Pretzels,45,100,https://spoonacular.com/recipeImages/636066-312x231.jpg,[],0,"{'active yeast': '0.01 ', 'cinnamon': '0.01 teaspoon', 'cream cheese': '0.01 cup', 'cup cake': '0.01 cup', 'egg white': '0.01 ', 'flour': '0.04 cups', 'milk': '0.01 cup', 'salt': '0.01 teaspoon', 'sugar': '0.02 tablespoons', 'vegetable oil': '0.05 tablespoons', 'water': '0.02 tablespoons'}","['active yeast', 'cinnamon', 'cream cheese', 'cup cake', 'egg white', 'flour', 'milk', 'salt', 'sugar', 'vegetable oil', 'water']","Place the blueberries, sugar and 1 tablespoon of vegetable oil in the bowl of a food processor, and pulse to make a thick paste. Grease a large baking sheet with 1 tablespoon of oil and set aside. Warm the milk in a small saucepan to 110 degrees, and set aside.Combine the yeast, 1 tablespoon of sugar, and 1 tablespoon of oil in the bowl of an electric mixer fitted with a dough hook.Add the milk to the bowl, and with the mixer on low speed, beat the mixture for 4 minutes to dissolve the yeast.Add the flour, salt, and blueberry paste to the bowl, and mix on low speed until the dough begins to come together. Increase the mixing speed to medium and beat until the dough pulls away from the sides of the bowl and forms a tight ball, about 2 minutes.Oil a large mixing bowl with 1 tablespoon of oil.Remove the dough from the mixer and place it in the oiled mixing bowl, turning to lightly coat with oil. Cover the bowl with plastic wrap or a damp kitchen towel, and set in a warm, draft-free place.Let the dough rise until doubled in size, about 2 hours.Remove the dough from the bowl and turn it onto a lightly floured surface.Roll the dough into a 12-inch by 10-inch rectangle.Cut the dough with a sharp knife into 18 pieces (about 1/4-cup each). Gently roll and pull each one into a long thin ribbon, about 1/2-inch in diameter and 14-inches in length. Bring the ends up to form a U-shape and twist to form a wreath, bringing the ends down and across as though making a bow, pressing down to seal the ends.Preheat oven to 400 degrees. Bring a large pot of water to a boil and add the pretzels in batches ofCook, turning once, about 2 minutes on each side.Remove from the water and drain on paper towels.Combine the beaten egg with 2 tablespoons of water.Brush the pretzels with the mixture and sprinkle with a combination of the remaining sugar and 1/2-teaspoon cinnamon.Place on the prepared baking pan and bake until golden brown, 20 to 25 minutes.Remove the pretzels from the oven, and serve warm with honeyed cream cheese.This recipe yields 18 servings."
636080,Breakfast Sticky Buns,45,8,https://spoonacular.com/recipeImages/636080-312x231.jpg,[],0,"{'brown sugar': '0.06 cup', 'butter': '0.13 tablespoon', 'butterscotch pudding': '0.13 box', 'pecans': '0.06 cup', 'sub rolls': '0.13 pkg'}","['brown sugar', 'butter', 'butterscotch pudding', 'pecans', 'sub rolls']",Spray a 10-inch tube pan with a no-stick cooking spray.Spread pecans evenly on bottom of pan.Place rolls on pecans and then sprinkle pudding on top of rolls.Mix sugar into melted butter.Pour this mixture over nuts/rolls/pudding. Cover and let stand overnight.Bake at 350 degrees for 20-25 minutes. Turn over and out onto plate at once.
636026,Breakfast Biscuits and Gravy,45,4,https://spoonacular.com/recipeImages/636026-312x231.jpg,['Southern'],0,"{'baking powder': '0.5 teaspoons', 'butter': '0.13 cup', 'flour': '0.75 tablespoons', 'fresh sage leaves': '0.5 teaspoons', 'ground allspice': '0.06 teaspoon', 'paprika': '0.13 teaspoon', 'pork sausage': '0.38 pounds', 'salt': '0.38 teaspoons', 'salt and pepper': '1.0 servings', 'unbleached flour': '0.44 cups', 'unsalted butter': '1.0 servings', 'whole milk': '1.0 cups', 'yogurt': '0.25 cup'}","['baking powder', 'butter', 'flour', 'fresh sage leaves', 'ground allspice', 'paprika', 'pork sausage', 'salt', 'salt and pepper', 'unbleached flour', 'unsalted butter', 'whole milk', 'yogurt']","Preheat the oven to 425F. Cover a baking sheet with a piece of parchment paper.Make the biscuits: sift the flour, baking powder, and salt together into a large bowl. Using two knives or a pastry blender, cut in the butter until the texture rangers from cornmeal to the size of small peas. (These two steps can be done quickly in a food processor.) Using a fork, gradually mix in the yogurt, then the milk, until the dough is quite soft and somewhat sticky. Work quickly without overworking the dough. Turn it out onto a lightly floured surface and knead it briefly, just long enough to get it to hold together.Roll it out so it is about 1 1/4 inches thick, and cut it into 2 iWhile the biscuits are baking, prepare the sausages: place all the sausage ingredients in a large bowl and mix thoroughly, using your fingers.To test the seasoning, fry a tiny patty and taste; adjust if necessary.Place the patties in a large heavy or nonstick skillet over medium-high heat, and cook until they are crisp and brown on the outside and cooked through inside, about 8 minutes per side.Transfer the sausage patties to a warmed platter and keep warm."
1096243,Prune Breakfast Bread,80,8,https://spoonacular.com/recipeImages/1096243-312x231.jpg,[],0,"{'prunes': '0.19 cups', 'flour': '0.25 cups', 'sugar': '0.09 cups', 'baking soda': '0.13 tsp', 'salt': '0.06 tsp', 'egg': '0.13 ', 'shortening': '0.25 tablespoons'}","['prunes', 'flour', 'sugar', 'baking soda', 'salt', 'egg', 'shortening']","In medium saucepan, combine pitted prunes with 1  cup water, bring to boiling.  Reduce heat, and simmer, covered.  10 minutes.Preheat oven 350 degrees.Sift flour with sugar, baking soda and salt; set aside.Drain prunes, reserving liquid.  Chop prunes or place in food processor and give a few good chops.Add to reserved liquid, and measure.Add water if needed to make 2 cups.In a large bowl combine egg and shortening:  with electric mixer at medium speed, beat well.Add prune mixture:  beat until well blended.Add flour mixture:  beat at low speed just until smooth.  Turn into prepared pan.Bake 50-60 minutes, or until cake tester inserted in center comes out clean.Let cool in pan on wire rack 10 minutes.Remove from pan:  cool completely on rack.  Wrap in plastic film or foil, and refrigerate overnight before slicing."
641185,Dad’s Breakfast Polenta,45,4,https://spoonacular.com/recipeImages/641185-312x231.jpg,[],0,"{'chicken stock': '0.75 cups', 'polenta': '0.25 cup', 'bacon': '1.0 pieces', 'green bell pepper': '0.13 ', 'green onions': '1.25 ', 'turkey sausage': '1.0 pieces', 'feta': '0.06 cup', 'salt': '0.25 serving', 'bell pepper': '0.25 serving'}","['chicken stock', 'polenta', 'bacon', 'green bell pepper', 'green onions', 'turkey sausage', 'feta', 'salt', 'bell pepper']","Prepare polenta according to package directions. (Be sure to season with some salt and pepper as well!)Meanwhile, cut bacon into small pieces and brown in a skillet with 1 tablespoon olive oil, on medium-high heat, until brown and crispy.Remove the bacon and reserve for later.Depending on your preference, you can either clean the pan and use 1 tablespoon olive oil, or you can cook the remaining veggies with a tablespoon of the bacon fat.)Add turkey sausage and bell pepper and saut until sausage is browned and cooked through.Add green onions, bacon, salt and pepper and saut for 5 more minutes.Add polenta to the meat and vegetables and stir to combine. Slowly stir in feta.Serve warm."
661984,Stuffed Breakfast Balls,45,6,https://spoonacular.com/recipeImages/661984-312x231.jpg,[],0,"{'basil': '0.33 tsp', 'coconut oil': '1.0 servings', 'eggs': '0.33 large', 'goat cheese': '1.0 servings', 'green bell pepper': '0.04 ', 'ground beef': '0.25 pounds', 'marjoram': '0.04 tsp', 'onion flakes': '0.17 tsp', 'red skinned potatoes': '0.83 ', 'sage': '0.17 tsp', 'sea salt': '0.17 tsp', 'tomato': '0.04 ', 'white pepper': '0.17 tsp'}","['basil', 'coconut oil', 'eggs', 'goat cheese', 'green bell pepper', 'ground beef', 'marjoram', 'onion flakes', 'red skinned potatoes', 'sage', 'sea salt', 'tomato', 'white pepper']","Shred 5 red skinned potatoes.Squeeze all liquid out of red skinned potatoes in papertowel.Place pan on med/high heat.Add a scoop of coconut oil to pan.Add shredded potatoes to pan.Spread them out and flip when crispy. Set potatoes aside.In another pan, add a scoop of coconut oil.Add 3 eggs. Scramble eggs until very close to done and remove from heat. Set aside.Chop green pepper and tomato. Set aside.Add ground beef to bowl.Add sage, sea salt, basil, white pepper, onion flakes and marjoram.Mix with hands thoroughly.Roll out parchment paper.Remove two small amounts of ground beef and roll into balls. Flatten balls onto parchment paper.Stack small scoop of hashbrowns, eggs, green peppers, tomato, slice of goat cheese.Place second ball on top of stack.Pinch edges together to seal.Pick up and begin forming into a ball in your hands releasing all of the air.Continue steps 9-13 until all ground beef is used. (Approx 6 Balls).Take paper towel and scoop small amount of coconut oil onto it. Wipe it all over flat pan.Place ground beef balls onto pan.Pre-heat oven to 35Bake 15 minutes or until ground beef is cooked through."
658134,Redneck Breakfast on a Croissant,45,1,https://spoonacular.com/recipeImages/658134-312x231.jpg,[],0,"{'croissant': '1.0 ', 'corned beef': '0.25 cup', 'egg': '1.0 ', 'butter': '0.5 teaspoon', 'kosher salt': '1.0 serving'}","['croissant', 'corned beef', 'egg', 'butter', 'kosher salt']","Split the croissant in half and toast.Heat a non stick pan over medium high heat, add the corned beef hash.  Cook the has until it is brown and crisp on one side (3 to 5 minutes), then flip with a turner and cook the other side until it is crisps and browns, another 3 to 5 minutes.  Note: While cooking the has push it together and flatten it so it makes a little patty, its much easier to flip and serve that way.Place the corned beef hash patty on the bottom half of the toasted croissant.In the same pan, melt the butter and add the egg, fry according to taste.Sprinkle the egg with a little salt and pepper and place on top of the corned beef hash patty.  On the top side of the croissant, squeeze a layer of canned cheese over it.Place the top layer over the bottom half.Serve immediately."
663853,Tropical Breakfast Quinoa,45,2,https://spoonacular.com/recipeImages/663853-312x231.jpg,[],0,"{'cooked quinoa': '0.5 cup', 'light coconut milk': '0.25 cup', 'pineapple': '1.5 tablespoons', 'cinnamon': '0.13 teaspoon', 'maple syrup': '0.5 teaspoon', 'coconut': '1.0 tablespoons', 'pecans': '2.5 ', 'strawberries': '0.25 cup', 'balsamic vinegar': '0.5 teaspoon'}","['cooked quinoa', 'light coconut milk', 'pineapple', 'cinnamon', 'maple syrup', 'coconut', 'pecans', 'strawberries', 'balsamic vinegar']","In a medium size pot combine cooked quinoa, coconut milk, crushed pineapple, cinnamon and maple syrup; stir to combine. Bring to a boil and reduce heat. Cook for 5 minutes, stirring occasionally.Top quinoa mixture with toasted coconut, pecans, sliced strawberries and balsamic vinegar."
